experiment_id,scenario_id,replication,policy,K,demand_multiplier,service_time_mean,mean_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
exp2_fleet_sensitivity,P0_K15,0,P0_legacy,15,1.0,25.0,9.232227168823409,20.417980087566782,20.417980087566782,0.5051903114186851,0.5865051903114187,0.6505190311418685,0.1238203747907039,0.4939384687187272,0.0,0,0.0,578,0,42
exp2_fleet_sensitivity,P0_K15,1,P0_legacy,15,1.0,25.0,9.23879014335643,22.145115590781995,22.145115590781995,0.5251299826689775,0.5944540727902946,0.6464471403812825,0.1234232899499383,0.4807265988274106,0.0,0,0.0,577,0,43
exp2_fleet_sensitivity,P0_K15,2,P0_legacy,15,1.0,25.0,9.621207752278607,23.264668726389203,23.264668726389203,0.4974446337308347,0.5706984667802385,0.645655877342419,0.1305751735137235,0.5110141606638723,0.0,0,0.0,587,0,44
exp2_fleet_sensitivity,P0_K15,3,P0_legacy,15,1.0,25.0,9.341549728638306,22.197742963942915,22.197742963942915,0.5217391304347826,0.6020066889632107,0.6521739130434783,0.1300376288009241,0.5211851509379086,0.0,0,0.0,598,0,45
exp2_fleet_sensitivity,P0_K15,4,P0_legacy,15,1.0,25.0,9.893975313890207,22.51118346421464,22.51118346421464,0.4835355285961871,0.5459272097053726,0.6065857885615251,0.1263387991847442,0.5023657481304689,0.0,0,0.0,577,0,46
exp2_fleet_sensitivity,P0_K15,5,P0_legacy,15,1.0,25.0,8.856182295498613,20.191280884065325,20.191280884065325,0.5283363802559415,0.6106032906764168,0.676416819012797,0.1155877590372027,0.4653825654494012,0.0,0,0.0,547,0,47
exp2_fleet_sensitivity,P0_K15,6,P0_legacy,15,1.0,25.0,9.880075148888125,23.068514956333672,23.068514956333672,0.470383275261324,0.5418118466898955,0.6045296167247387,0.1275917385583657,0.5078266382526683,0.0,0,0.0,574,0,48
exp2_fleet_sensitivity,P0_K15,7,P0_legacy,15,1.0,25.0,9.843928033636525,22.154289395445588,22.154289395445588,0.4642233856893543,0.5479930191972077,0.6230366492146597,0.1292730005703958,0.5253240252315644,0.0,0,0.0,573,0,49
exp2_fleet_sensitivity,P0_K15,8,P0_legacy,15,1.0,25.0,9.293113620951404,22.197742963943767,22.197742963943767,0.5178907721280602,0.5951035781544256,0.6572504708097928,0.1161660007774894,0.4483301758880616,0.0,0,0.0,531,0,50
exp2_fleet_sensitivity,P0_K15,9,P0_legacy,15,1.0,25.0,9.280055950542016,21.964285894964007,21.964285894964007,0.5149384885764499,0.6010544815465729,0.6414762741652021,0.1250486312509725,0.4999837866875296,0.0,0,0.0,569,0,51
exp2_fleet_sensitivity,P0_K15,10,P0_legacy,15,1.0,25.0,9.46159559117594,22.39207629477133,22.39207629477133,0.5032894736842105,0.5773026315789473,0.6381578947368421,0.1330469318129206,0.5206806599615323,0.0,0,0.0,608,0,52
exp2_fleet_sensitivity,P0_K15,11,P0_legacy,15,1.0,25.0,9.879221849811632,22.197742963943043,22.197742963943043,0.4616695059625213,0.5519591141396933,0.6013628620102215,0.1312037153363516,0.509251726778792,0.0,0,0.0,587,0,53
exp2_fleet_sensitivity,P0_K15,12,P0_legacy,15,1.0,25.0,9.40784522328515,21.980475121455783,21.980475121455783,0.484629294755877,0.5678119349005425,0.6419529837251357,0.1205459133924169,0.4567866709572094,0.0,0,0.0,553,0,54
exp2_fleet_sensitivity,P0_K15,13,P0_legacy,15,1.0,25.0,9.619808471282552,22.8822351281312,22.8822351281312,0.494773519163763,0.578397212543554,0.6428571428571429,0.1254309462908736,0.5002127804746105,0.0,0,0.0,574,0,55
exp2_fleet_sensitivity,P0_K15,14,P0_legacy,15,1.0,25.0,9.39125221358546,20.522990072616267,20.522990072616267,0.5055292259083728,0.5797788309636651,0.6303317535545023,0.1387979354789745,0.5138553833963404,0.0,0,0.0,633,0,56
exp2_fleet_sensitivity,P0_K15,15,P0_legacy,15,1.0,25.0,9.405388510460062,20.729238249674545,20.729238249674545,0.5106761565836299,0.5818505338078291,0.6334519572953736,0.1202313876901869,0.4932819246331119,0.0,0,0.0,562,0,57
exp2_fleet_sensitivity,P0_K15,16,P0_legacy,15,1.0,25.0,8.859202491274688,19.87661715931398,19.87661715931398,0.5174953959484346,0.6003683241252302,0.6593001841620626,0.1164742448901986,0.4530354539016448,0.0,0,0.0,543,0,58
exp2_fleet_sensitivity,P0_K15,17,P0_legacy,15,1.0,25.0,9.66147633424321,23.26466872638946,23.26466872638946,0.4982698961937716,0.5692041522491349,0.6366782006920415,0.1259785644899592,0.488851407327699,0.0,0,0.0,578,0,59
exp2_fleet_sensitivity,P0_K15,18,P0_legacy,15,1.0,25.0,8.863954057519145,22.110835826948065,22.110835826948065,0.5495934959349593,0.6211382113821138,0.6780487804878049,0.1334554521916138,0.495050136349708,0.0,0,0.0,615,0,60
exp2_fleet_sensitivity,P0_K15,19,P0_legacy,15,1.0,25.0,9.252061114990257,22.39207629477137,22.39207629477137,0.5150442477876106,0.5876106194690266,0.6460176991150443,0.1204504773584055,0.491234150115642,0.0,0,0.0,565,0,61
exp2_fleet_sensitivity,P0_K15,20,P0_legacy,15,1.0,25.0,9.632937909464692,22.79586052965025,22.79586052965025,0.4837133550488599,0.5684039087947883,0.6335504885993485,0.1339647388812506,0.5057088539101444,0.0,0,0.0,614,0,62
exp2_fleet_sensitivity,P0_K15,21,P0_legacy,15,1.0,25.0,9.639901863174371,21.98047512145565,21.98047512145565,0.4783393501805054,0.572202166064982,0.6335740072202166,0.122277139181368,0.4805026138758257,0.0,0,0.0,554,0,63
exp2_fleet_sensitivity,P0_K15,22,P0_legacy,15,1.0,25.0,8.94688568586107,20.952796961432934,20.952796961432934,0.5260416666666666,0.59375,0.6597222222222222,0.1264534308028846,0.4658987049702513,0.0,0,0.0,576,0,64
exp2_fleet_sensitivity,P0_K15,23,P0_legacy,15,1.0,25.0,9.689634812559644,23.0178575452807,23.0178575452807,0.4827586206896552,0.5793103448275863,0.646551724137931,0.1310247150304183,0.5046483923782027,0.0,0,0.0,580,0,65
exp2_fleet_sensitivity,P0_K15,24,P0_legacy,15,1.0,25.0,9.590310368731744,23.264668726388948,23.264668726388948,0.5008431703204047,0.5682967959527825,0.6408094435075885,0.1304736537784034,0.5015524523309658,0.0,0,0.0,593,0,66
exp2_fleet_sensitivity,P0_K15,25,P0_legacy,15,1.0,25.0,9.477963458050729,20.439327353351484,20.439327353351484,0.5,0.5766666666666667,0.64,0.1319595246535565,0.510401585102653,0.0,0,0.0,600,0,67
exp2_fleet_sensitivity,P0_K15,26,P0_legacy,15,1.0,25.0,9.989528010079365,22.920135102572463,22.920135102572463,0.4677966101694915,0.5423728813559322,0.5949152542372881,0.1314563255337729,0.4759407619109254,0.0,0,0.0,590,0,68
exp2_fleet_sensitivity,P0_K15,27,P0_legacy,15,1.0,25.0,9.49985293172117,21.210536697545564,21.210536697545564,0.4824707846410684,0.5459098497495827,0.6227045075125208,0.1282199748432646,0.5104717494735919,0.0,0,0.0,599,0,69
exp2_fleet_sensitivity,P0_K15,28,P0_legacy,15,1.0,25.0,9.792648294731476,22.891218939556484,22.891218939556484,0.4893238434163701,0.5782918149466192,0.6423487544483986,0.1232277639015376,0.4794027716524862,0.0,0,0.0,562,0,70
exp2_fleet_sensitivity,P0_K15,29,P0_legacy,15,1.0,25.0,9.74427987876624,22.56224943270448,22.56224943270448,0.4802631578947368,0.5641447368421053,0.6430921052631579,0.1320335559090547,0.5095804898889873,0.0,0,0.0,608,0,71
exp2_fleet_sensitivity,P1_K15,0,P1,15,1.0,25.0,2.879266956114464,4.908848432908261,4.908848432908261,0.9567474048442908,0.9930795847750864,0.9982698961937716,0.0995345877341843,0.1435454853990927,0.0,0,0.0,578,0,42
exp2_fleet_sensitivity,P1_K15,1,P1,15,1.0,25.0,2.856917584989381,4.862604846950036,4.862604846950036,0.9626168224299064,0.994392523364486,1.0,0.0931765184057777,0.1400274344160269,0.0,0,0.0,535,0,43
exp2_fleet_sensitivity,P1_K15,2,P1,15,1.0,25.0,2.966486250453281,5.065276240379605,5.065276240379605,0.9575221238938052,0.9946902654867256,1.0,0.100634904695203,0.1442811978043666,0.0,0,0.0,565,0,44
exp2_fleet_sensitivity,P1_K15,3,P1,15,1.0,25.0,2.9318153752737426,5.021453252838086,5.021453252838086,0.9565943238731218,0.994991652754591,0.998330550918197,0.1049139924436159,0.1865304279207033,0.0,0,0.0,599,0,45
exp2_fleet_sensitivity,P1_K15,4,P1,15,1.0,25.0,2.968469891640397,5.050668577865848,5.050668577865848,0.9566724436741768,0.9930675909878682,0.9982668977469672,0.0999101177784072,0.1455979152681235,0.0,0,0.0,577,0,46
exp2_fleet_sensitivity,P1_K15,5,P1,15,1.0,25.0,2.927646852578632,4.956552680529399,4.956552680529399,0.959780621572212,0.9963436928702012,1.0,0.0941399489361628,0.1445010661539742,0.0,0,0.0,547,0,47
exp2_fleet_sensitivity,P1_K15,6,P1,15,1.0,25.0,2.8799781722205617,4.743097083245006,4.743097083245006,0.96309963099631,0.992619926199262,0.9981549815498156,0.095473543829063,0.1512831663048927,0.0,0,0.0,542,0,48
exp2_fleet_sensitivity,P1_K15,7,P1,15,1.0,25.0,2.975871808516514,5.021453252838214,5.021453252838214,0.9581881533101044,0.9930313588850174,1.0,0.1037777748615031,0.1412501103354449,0.0,0,0.0,574,0,49
exp2_fleet_sensitivity,P1_K15,8,P1,15,1.0,25.0,2.960660272061102,5.094491565407111,5.094491565407111,0.9511278195488722,0.986842105263158,0.9943609022556392,0.0940767126283616,0.1599584176878559,0.0,0,0.0,532,0,50
exp2_fleet_sensitivity,P1_K15,9,P1,15,1.0,25.0,2.9139247242643567,4.978733626998774,4.978733626998774,0.9558823529411764,0.9871323529411764,0.9981617647058824,0.096215487978138,0.1542946200712148,0.0,0,0.0,544,0,51
exp2_fleet_sensitivity,P1_K15,10,P1,15,1.0,25.0,2.8989570819260795,5.0214532528383415,5.0214532528383415,0.957166392092257,0.9934102141680397,0.99835255354201,0.1064762324377109,0.1740092090480816,0.0,0,0.0,607,0,52
exp2_fleet_sensitivity,P1_K15,11,P1,15,1.0,25.0,3.0855604014082334,5.355373201640248,5.355373201640248,0.9437819420783644,0.9948892674616696,0.9982964224872232,0.1048288524381188,0.1491511210305488,0.0,0,0.0,587,0,53
exp2_fleet_sensitivity,P1_K15,12,P1,15,1.0,25.0,2.8959940755401905,4.753505893363126,4.753505893363126,0.961038961038961,0.9925788497217068,1.0,0.0942877684068923,0.1549248260004666,0.0,0,0.0,539,0,54
exp2_fleet_sensitivity,P1_K15,13,P1,15,1.0,25.0,2.889306892746521,4.777417872452787,4.777417872452787,0.9634146341463414,0.9930313588850174,0.9965156794425089,0.0998799680760608,0.1541020758526889,0.0,0,0.0,574,0,55
exp2_fleet_sensitivity,P1_K15,14,P1,15,1.0,25.0,2.912121034800833,4.7774178724532135,4.7774178724532135,0.9560632688927944,0.9876977152899824,0.9947275922671354,0.1011139126818404,0.1632981974262783,0.0,0,0.0,569,0,56
exp2_fleet_sensitivity,P1_K15,15,P1,15,1.0,25.0,2.939173265477101,5.102205077654049,5.102205077654049,0.9528795811518324,0.9947643979057592,1.0,0.0979236916802329,0.144359143372985,0.0,0,0.0,573,0,57
exp2_fleet_sensitivity,P1_K15,16,P1,15,1.0,25.0,2.886503408099666,4.886802965709308,4.886802965709308,0.966010733452594,0.9910554561717352,0.9946332737030412,0.0977295517697127,0.159993563669883,0.0,0,0.0,559,0,58
exp2_fleet_sensitivity,P1_K15,17,P1,15,1.0,25.0,3.0223959907248448,5.218897419625251,5.218897419625251,0.9429065743944636,0.9965397923875432,1.0,0.100599011324922,0.1630146847012366,0.0,0,0.0,578,0,59
exp2_fleet_sensitivity,P1_K15,18,P1,15,1.0,25.0,3.0010815903254127,5.0214532528383415,5.0214532528383415,0.9447154471544716,0.9902439024390244,0.9967479674796748,0.1096084510849726,0.1855824832389916,0.0,0,0.0,615,0,60
