experiment_id,scenario_id,replication,policy,K,demand_multiplier,service_time_mean,mean_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
exp4_service_robustness,P0_K20_s20,0,P0,20,1.0,20.0,3.1367798007342635,5.093761038327216,5.093761038327216,0.9430051813471503,0.9965457685664939,1.0,0.06134032051089312,0.14062021802597133,0.0,0,0.0,579,0,42
exp4_service_robustness,P0_K20_s20,1,P0,20,1.0,20.0,3.1656768593678066,5.093761038327216,5.093761038327216,0.9440298507462687,0.9981343283582089,1.0,0.057580973591514525,0.1437888496657025,0.0,0,0.0,536,0,43
exp4_service_robustness,P0_K20_s20,2,P0,20,1.0,20.0,3.1816403554543746,5.725743903405537,5.725743903405537,0.9415929203539823,0.9982300884955753,1.0,0.061805918093048605,0.12089833670986036,0.0,0,0.0,565,0,44
exp4_service_robustness,P0_K20_s20,3,P0,20,1.0,20.0,3.071802342678597,5.035914809935949,5.035914809935949,0.9532554257095158,0.998330550918197,0.998330550918197,0.06421517957050132,0.109938734265903,0.0,0,0.0,599,0,45
exp4_service_robustness,P0_K20_s20,4,P0,20,1.0,20.0,3.2044359501389796,5.287557904417951,5.287557904417951,0.9376083188908145,0.9965337954939342,0.9982668977469671,0.0614620123399063,0.12488469800962906,0.0,0,0.0,577,0,46
exp4_service_robustness,P0_K20_s20,5,P0,20,1.0,20.0,3.05129543991245,4.964562712008503,4.964562712008503,0.9506398537477148,0.9981718464351006,1.0,0.05759418931677553,0.11129708876238942,0.0,0,0.0,547,0,47
exp4_service_robustness,P0_K20_s20,6,P0,20,1.0,20.0,2.9970582030379727,4.535754428475672,4.535754428475672,0.9649446494464945,0.9981549815498155,1.0,0.05834090710384523,0.10809020767251902,0.0,0,0.0,542,0,48
exp4_service_robustness,P0_K20_s20,7,P0,20,1.0,20.0,3.190008692316962,5.221241387682519,5.221241387682519,0.9425087108013938,0.9982578397212544,1.0,0.0637167872131277,0.12639102327816276,0.0,0,0.0,574,0,49
exp4_service_robustness,P0_K20_s20,8,P0,20,1.0,20.0,3.165689475419429,5.3098900422874635,5.3098900422874635,0.9398496240601504,0.9962406015037594,0.9962406015037594,0.0577579808961336,0.1135832990640543,0.0,0,0.0,532,0,50
exp4_service_robustness,P0_K20_s20,9,P0,20,1.0,20.0,2.9893357874831126,4.540874724738643,4.540874724738643,0.9655797101449275,1.0,1.0,0.05997734267021484,0.1113611319552737,0.0,0,0.0,552,0,51
exp4_service_robustness,P0_K20_s20,10,P0,20,1.0,20.0,3.0949469641400795,5.093761038326363,5.093761038326363,0.9473684210526315,0.9983552631578947,1.0,0.06543236029800488,0.1533032978349301,0.0,0,0.0,608,0,52
exp4_service_robustness,P0_K20_s20,11,P0,20,1.0,20.0,3.2980408199346853,5.892374602399144,5.892374602399144,0.9114139693356048,0.9965928449744463,0.9982964224872232,0.06443932930414287,0.13366897301862105,0.0,0,0.0,587,0,53
exp4_service_robustness,P0_K20_s20,12,P0,20,1.0,20.0,3.117901018146895,5.093761038326363,5.093761038326363,0.9443413729128015,1.0,1.0,0.05791242296580322,0.11259796888258747,0.0,0,0.0,539,0,54
exp4_service_robustness,P0_K20_s20,13,P0,20,1.0,20.0,3.1152479901104466,5.274697479282807,5.274697479282807,0.9425087108013938,0.9965156794425087,0.9965156794425087,0.061362418450667144,0.13373134877160892,0.0,0,0.0,574,0,55
exp4_service_robustness,P0_K20_s20,14,P0,20,1.0,20.0,3.0423782652653166,5.021453252837915,5.021453252837915,0.9595782073813708,0.9947275922671354,0.9982425307557118,0.06183310821374026,0.12347964638037,0.0,0,0.0,569,0,56
exp4_service_robustness,P0_K20_s20,15,P0,20,1.0,20.0,3.138537491687131,5.892374602398718,5.892374602398718,0.924956369982548,0.9965095986038395,1.0,0.06013896182283226,0.1288182681053424,0.0,0,0.0,573,0,57
exp4_service_robustness,P0_K20_s20,16,P0,20,1.0,20.0,3.1492581811492704,5.094310932117793,5.094310932117793,0.9427549194991055,0.9964221824686941,0.9964221824686941,0.06013520625607495,0.11728340999077573,0.0,0,0.0,559,0,58
exp4_service_robustness,P0_K20_s20,17,P0,20,1.0,20.0,3.12679394266601,5.093761038327216,5.093761038327216,0.9463667820069204,1.0,1.0,0.0615316835447041,0.12624165254817826,0.0,0,0.0,578,0,59
exp4_service_robustness,P0_K20_s20,18,P0,20,1.0,20.0,3.1508952751675507,5.064837924131284,5.064837924131284,0.9398373983739837,0.9983739837398374,0.9983739837398374,0.06713793003485229,0.12741833863021762,0.0,0,0.0,615,0,60
