experiment_id,scenario_id,replication,policy,K,demand_multiplier,service_time_mean,mean_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
exp1_policy_comparison,P0_K20,0,P0,20,1.0,25.0,7.91638123756529,19.189366805509117,19.189366805509117,0.6608996539792388,0.7093425605536332,0.08909266726233762,0.4806791314849758,0.0,0,0.0,578,0,42
exp1_policy_comparison,P0_K20,1,P0,20,1.0,25.0,8.629023946412504,20.17593216693312,20.17593216693312,0.6055363321799307,0.6643598615916955,0.09126059728893379,0.4879212475034964,0.0,0,0.0,578,0,43
exp1_policy_comparison,P0_K20,2,P0,20,1.0,25.0,8.232826197896168,19.964522308588148,19.964522308588148,0.6337308347529813,0.7240204429301533,0.09388882074827631,0.5075909540950263,0.0,0,0.0,587,0,44
exp1_policy_comparison,P0_K20,3,P0,20,1.0,25.0,7.881679554135161,18.71910905124415,18.71910905124415,0.6427378964941569,0.7295492487479132,0.09339268006256317,0.48790170743179606,0.0,0,0.0,599,0,45
exp1_policy_comparison,P0_K20,4,P0,20,1.0,25.0,8.20545239745568,20.29342597800502,20.29342597800502,0.6499133448873483,0.7123050259965338,0.08992137258904062,0.48429745345292907,0.0,0,0.0,577,0,46
exp1_policy_comparison,P0_K20,5,P0,20,1.0,25.0,7.6901308450175385,18.776778789351013,18.776778789351013,0.6636197440585009,0.7349177330895795,0.08352697928081296,0.47426221351239045,0.0,0,0.0,547,0,47
exp1_policy_comparison,P0_K20,6,P0,20,1.0,25.0,8.114221291771056,19.939234946604927,19.939234946604927,0.6683587140439933,0.7123519458544839,0.09328532885329358,0.513590774941837,0.0,0,0.0,591,0,48
exp1_policy_comparison,P0_K20,7,P0,20,1.0,25.0,8.360150381477654,20.309096399524265,20.309096399524265,0.6388384754990926,0.7041742286751361,0.08947603783127063,0.4855497536953226,0.0,0,0.0,551,0,49
exp1_policy_comparison,P0_K20,8,P0,20,1.0,25.0,7.877215715004999,18.86035908244253,18.86035908244253,0.6685499058380414,0.7212806026365348,0.08339512663441903,0.47810893579721075,0.0,0,0.0,531,0,50
exp1_policy_comparison,P0_K20,9,P0,20,1.0,25.0,7.409188332432177,18.755734788897627,18.755734788897627,0.6751361161524501,0.7332123411978222,0.08584063897159533,0.4870197604901194,0.0,0,0.0,551,0,51
exp1_policy_comparison,P0_K20,10,P0,20,1.0,25.0,8.09506596107472,19.059122432993824,19.059122432993824,0.6447368421052632,0.7072368421052632,0.09566391902287733,0.5165688308604862,0.0,0,0.0,608,0,52
exp1_policy_comparison,P0_K20,11,P0,20,1.0,25.0,8.014942030115279,19.585121396967615,19.585121396967615,0.6473594548551959,0.7137989778534923,0.09297455111455652,0.4868980486468852,0.0,0,0.0,587,0,53
exp1_policy_comparison,P0_K20,12,P0,20,1.0,25.0,8.361913193073589,19.752217827429916,19.752217827429916,0.5955473098330241,0.6920222634508348,0.08532956839024124,0.4915590438341945,0.0,0,0.0,539,0,54
exp1_policy_comparison,P0_K20,13,P0,20,1.0,25.0,8.110911013816072,19.0986429915297,19.0986429915297,0.632404181184669,0.6968641114982579,0.08977704334620204,0.5139258268430197,0.0,0,0.0,574,0,55
exp1_policy_comparison,P0_K20,14,P0,20,1.0,25.0,7.978613171168219,19.189366805509565,19.189366805509565,0.6466876971608833,0.7066246056782335,0.09976221043681481,0.5038142153362405,0.0,0,0.0,634,0,56
exp1_policy_comparison,P0_K20,15,P0,20,1.0,25.0,8.07816816036739,19.189366805508946,19.189366805508946,0.6684118673647469,0.7120418848167539,0.0880491381786873,0.4790524364821204,0.0,0,0.0,573,0,57
exp1_policy_comparison,P0_K20,16,P0,20,1.0,25.0,8.107124485788317,19.189366805508712,19.189366805508712,0.6335174953959485,0.6979742173112339,0.0853299973731099,0.49609913040484,0.0,0,0.0,543,0,58
exp1_policy_comparison,P0_K20,17,P0,20,1.0,25.0,7.801258464683905,18.776778789351738,18.776778789351738,0.643598615916955,0.7214532871972318,0.0891505606263718,0.5076039626103444,0.0,0,0.0,578,0,59
exp1_policy_comparison,P0_K20,18,P0,20,1.0,25.0,8.15603679428459,19.473723776659085,19.473723776659085,0.6422764227642277,0.7154471544715447,0.09793202011152163,0.522236762552724,0.0,0,0.0,615,0,60
exp1_policy_comparison,P0_K20,19,P0,20,1.0,25.0,8.04307470174997,18.826926965206216,18.826926965206216,0.6424778761061947,0.720353982300885,0.08694957764439562,0.4511897849189459,0.0,0,0.0,565,0,61
exp1_policy_comparison,P0_K20,20,P0,20,1.0,25.0,7.822900870551085,19.473723776658574,19.473723776658574,0.660377358490566,0.7238421955403087,0.08989397391720773,0.5096636073745362,0.0,0,0.0,583,0,62
exp1_policy_comparison,P0_K20,21,P0,20,1.0,25.0,8.483144752757864,19.473723776658574,19.473723776658574,0.608318890814558,0.6776429809358753,0.09205216003876411,0.524275868280944,0.0,0,0.0,577,0,63
exp1_policy_comparison,P0_K20,22,P0,20,1.0,25.0,8.198114201541404,19.52989421255333,19.52989421255333,0.6346153846153846,0.6993006993006993,0.09191467602295852,0.4615257046314297,0.0,0,0.0,572,0,64
exp1_policy_comparison,P0_K20,23,P0,20,1.0,25.0,8.275342260248024,20.322659929790223,20.322659929790223,0.6362068965517241,0.7034482758620689,0.09419963904890132,0.5197935091127531,0.0,0,0.0,580,0,65
exp1_policy_comparison,P0_K20,24,P0,20,1.0,25.0,7.817818272377842,18.909920161087243,18.909920161087243,0.6643598615916955,0.726643598615917,0.0903449600618836,0.5000524890324375,0.0,0,0.0,578,0,66
exp1_policy_comparison,P0_K20,25,P0,20,1.0,25.0,8.05969266953137,20.130054939764932,20.130054939764932,0.6621848739495798,0.719327731092437,0.0939600401649992,0.5175356605810153,0.0,0,0.0,595,0,67
exp1_policy_comparison,P0_K20,26,P0,20,1.0,25.0,8.156307837669374,19.964522308587664,19.964522308587664,0.6499102333931778,0.7073608617594255,0.08826431124447057,0.45462207608416333,0.0,0,0.0,557,0,68
exp1_policy_comparison,P0_K20,27,P0,20,1.0,25.0,8.447909748463942,20.13005493976536,20.13005493976536,0.6217532467532467,0.6883116883116883,0.09568819051318486,0.5586009716668643,0.0,0,0.0,616,0,69
exp1_policy_comparison,P0_K20,28,P0,20,1.0,25.0,8.432104386208367,21.154916675896448,21.154916675896448,0.6192170818505338,0.6886120996441281,0.08862803683195691,0.4979886227587851,0.0,0,0.0,562,0,70
exp1_policy_comparison,P0_K20,29,P0,20,1.0,25.0,7.716831799882599,18.02416996901144,18.02416996901144,0.6695352839931153,0.729776247848537,0.08877124222209871,0.48518157776106335,0.0,0,0.0,581,0,71
exp1_policy_comparison,P1_K20,0,P1,20,1.0,25.0,2.5702551700188883,3.899683992234202,3.899683992234202,0.9965397923875432,1.0,0.07376498439010622,0.13339685105575128,0.0,0,0.0,578,0,42
exp1_policy_comparison,P1_K20,1,P1,20,1.0,25.0,2.5800943217542347,3.8996839922350546,3.8996839922350546,0.9962616822429906,1.0,0.069147763576998,0.1285284649704123,0.0,0,0.0,535,0,43
exp1_policy_comparison,P1_K20,2,P1,20,1.0,25.0,2.6510022126516026,4.049112206496375,4.049112206496375,0.9964601769911504,1.0,0.07459200946704733,0.1283814557648497,0.0,0,0.0,565,0,44
exp1_policy_comparison,P1_K20,3,P1,20,1.0,25.0,2.623824950949695,3.9989199396492836,3.9989199396492836,0.998330550918197,0.998330550918197,0.07777038389536017,0.17863934984022284,0.0,0,0.0,599,0,45
exp1_policy_comparison,P1_K20,4,P1,20,1.0,25.0,2.594902223786793,3.8996839922350546,3.8996839922350546,0.9948006932409013,0.9982668977469671,0.07386339912571241,0.13412960174610664,0.0,0,0.0,577,0,46
