experiment_id,scenario_id,replication,policy,K,demand_multiplier,service_time_mean,mean_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
exp3_demand_sensitivity,P0_K20_d0.5,0,P0,20,0.5,25.0,8.338641612073438,20.08634497068654,20.08634497068654,0.6295081967213115,0.6819672131147541,0.04732091813555561,0.3490990385705063,0.0,0,0.0,305,0,42
exp3_demand_sensitivity,P0_K20_d0.5,1,P0,20,0.5,25.0,7.636362811796757,19.05319673671281,19.05319673671281,0.6604477611940298,0.7201492537313433,0.04123650290233123,0.320654119678252,0.0,0,0.0,268,0,43
exp3_demand_sensitivity,P0_K20_d0.5,2,P0,20,0.5,25.0,7.699530374631999,18.770465589215632,18.770465589215632,0.6710526315789473,0.7302631578947368,0.04836024060566424,0.3533808153108858,0.0,0,0.0,304,0,44
exp3_demand_sensitivity,P0_K20_d0.5,3,P0,20,0.5,25.0,7.863496716664621,20.443402149576745,20.443402149576745,0.6793103448275862,0.7310344827586207,0.04516536030142061,0.3106100653237198,0.0,0,0.0,290,0,45
exp3_demand_sensitivity,P0_K20_d0.5,4,P0,20,0.5,25.0,8.112739942023229,18.40047437918159,18.40047437918159,0.6171875,0.69140625,0.0406998908571478,0.2940388362203575,0.0,0,0.0,256,0,46
exp3_demand_sensitivity,P0_K20_d0.5,5,P0,20,0.5,25.0,7.539374450665061,18.86035908244253,18.86035908244253,0.6738351254480287,0.7419354838709677,0.04256781983423298,0.3154821518722727,0.0,0,0.0,279,0,47
exp3_demand_sensitivity,P0_K20_d0.5,6,P0,20,0.5,25.0,8.281172497717137,19.939234946604074,19.939234946604074,0.6494464944649446,0.6937269372693727,0.04307801304229975,0.35671561895278076,0.0,0,0.0,271,0,48
exp3_demand_sensitivity,P0_K20_d0.5,7,P0,20,0.5,25.0,7.3246869891707584,18.77467438930637,18.77467438930637,0.6908396946564885,0.767175572519084,0.04167637235788282,0.30431145034060736,0.0,0,0.0,262,0,49
exp3_demand_sensitivity,P0_K20_d0.5,8,P0,20,0.5,25.0,7.1912980675260325,18.02416996901144,18.02416996901144,0.7016949152542373,0.7593220338983051,0.04545926962711886,0.34152798704956094,0.0,0,0.0,295,0,50
exp3_demand_sensitivity,P0_K20_d0.5,9,P0,20,0.5,25.0,7.670019275873949,21.439113189264262,21.439113189264262,0.7173144876325088,0.773851590106007,0.04451231368058274,0.3105699557102361,0.0,0,0.0,283,0,51
