policy,overall_rt_mean,cbd_rt_mean,non_cbd_rt_mean,cbd_coverage_8min,non_cbd_coverage_8min,cbd_coverage_6min,non_cbd_coverage_6min,overall_rt_std,cbd_rt_std,non_cbd_rt_std
Manhattan-Wide P2,2.5404604409896963,2.4595483422010695,2.6417710781156396,1.0,0.9938924384103165,0.9964514483881507,0.9677093506169581,0.04242656447707638,0.042090171182159894,0.07564131262831408
CBD-Focused P2,4.358489613816856,2.4833148906937983,6.70965777811881,1.0,0.7375378950449833,0.9954605325959462,0.5088488448590327,0.11540175790819471,0.03642516077577086,0.12825402992696147
