policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0-spatial,15,P0-spatial_K15,0,2,3.6485305661364635,3.38416520991359,5.537190700284214,6.092804504706804,0.9930795847750865,1.0,0.10247529121694038,0.18525279295016642,0.0,0,0.0,578,0,42
P0-spatial,15,P0-spatial_K15,1,2,3.599993369010275,3.1735930426697223,5.5691182086572155,6.38294185038859,0.9925233644859813,1.0,0.09580578787966126,0.16196236126473873,0.0,0,0.0,535,0,43
P0-spatial,15,P0-spatial_K15,2,2,3.6826233802287427,3.344026450354818,5.569118208657109,6.4661604812216025,0.9893805309734514,0.9964601769911504,0.10331094621850417,0.19971424467195004,0.0,0,0.0,565,0,44
P0-spatial,15,P0-spatial_K15,3,2,3.773972031714934,3.345784464661108,5.869864792165068,6.73172341113073,0.988313856427379,0.996661101836394,0.10825031411827385,0.23669666664353772,0.0,0,0.0,599,0,45
P0-spatial,15,P0-spatial_K15,4,2,3.7605153158072273,3.415624492011773,5.569118208657642,6.7317234111305595,0.9861351819757366,0.9965337954939342,0.10293267207565758,0.21362553428371434,0.0,0,0.0,577,0,46
P0-spatial,15,P0-spatial_K15,5,2,3.6383701126254535,3.291550810635613,5.5691182086572155,6.38294185038859,0.9981718464351006,1.0,0.09671115014810464,0.17729044849379005,0.0,0,0.0,547,0,47
P0-spatial,15,P0-spatial_K15,6,2,3.5735526630450734,3.119371116051859,5.551871430254011,6.381193681455625,0.9981549815498155,1.0,0.0979597698477593,0.18680177849081778,0.0,0,0.0,542,0,48
P0-spatial,15,P0-spatial_K15,7,2,3.7476979458688504,3.3802393629078153,5.85956934164068,6.731723411130879,0.9860627177700348,0.9930313588850174,0.10670785556811843,0.19823800963339178,0.0,0,0.0,574,0,49
P0-spatial,15,P0-spatial_K15,8,2,3.725585066669283,3.258554195920169,5.5691182086572155,6.731723411131156,0.9773913043478261,0.9895652173913043,0.10533540443583368,0.17299121284908378,0.0,0,0.0,575,0,50
P0-spatial,15,P0-spatial_K15,9,2,3.6306571358861293,3.291550810636039,5.5691182086572155,6.141842547905014,0.9963702359346642,0.9981851179673321,0.10068453787947582,0.1932975789782719,0.0,0,0.0,551,0,51
P0-spatial,15,P0-spatial_K15,10,2,3.636047151075772,3.222732167016673,5.569118208657642,6.38294185038859,0.9967051070840197,1.0,0.10943531756981321,0.2101992298973507,0.0,0,0.0,607,0,52
P0-spatial,15,P0-spatial_K15,11,2,3.7754214306737928,3.41562449201092,5.570800539433321,6.731723411131156,0.9914821124361158,0.9982964224872232,0.10750708275676221,0.20537610573622272,0.0,0,0.0,587,0,53
P0-spatial,15,P0-spatial_K15,12,2,3.745949965380577,3.38416520991359,5.610585726041333,6.4587792312955905,0.9888682745825603,0.9981447124304267,0.09731770375493443,0.22031406744558274,0.0,0,0.0,539,0,54
P0-spatial,15,P0-spatial_K15,13,2,3.6790992858456106,3.3457844646608947,5.569118208657642,6.70504113627574,0.9912891986062717,0.9965156794425087,0.10287825401282587,0.1959896791363287,0.0,0,0.0,574,0,55
P0-spatial,15,P0-spatial_K15,14,2,3.6782580912199174,3.3457844646602553,5.783298597516762,6.567580994660325,0.9929701230228472,0.9982425307557118,0.10399706073145978,0.2216724449107385,0.0,0,0.0,569,0,56
P0-spatial,15,P0-spatial_K15,15,2,3.609897860958383,3.345784464661108,5.436030720442034,5.985708465172916,0.9965095986038395,1.0,0.10046552496866394,0.17799056872587116,0.0,0,0.0,573,0,57
P0-spatial,15,P0-spatial_K15,16,2,3.6453942019477674,3.222732167016673,5.569118208657642,6.731723411130773,0.9874776386404294,0.9964221824686941,0.10053523929458762,0.21293392497923955,0.0,0,0.0,559,0,58
P0-spatial,15,P0-spatial_K15,17,2,3.7139947641038504,3.3483105640769395,5.569118208657642,6.690673757508421,0.9878892733564014,0.9965397923875432,0.10324282145066982,0.21110254338873918,0.0,0,0.0,578,0,59
P0-spatial,15,P0-spatial_K15,18,2,3.890642763600932,3.41562449201092,6.177743896350852,6.731723411131156,0.9775862068965517,0.9896551724137931,0.10731576617829483,0.22706930931278618,0.0,0,0.0,580,0,60
P0-spatial,15,P0-spatial_K15,19,2,3.7825614206649023,3.380359771162702,5.569118208657642,6.731723411131135,0.9828178694158075,0.9914089347079038,0.10301888687597692,0.19470627415205627,0.0,0,0.0,582,0,61
P0-spatial,15,P0-spatial_K15,20,2,3.6578921428058577,3.3440264503546047,5.569118208657109,6.263967111782013,0.9931506849315068,0.9965753424657534,0.10401781583868216,0.18728829054201548,0.0,0,0.0,584,0,62
P0-spatial,15,P0-spatial_K15,21,2,3.727969825200878,3.3449054575075365,5.569118208657642,6.731723411130517,0.9909747292418772,0.9945848375451264,0.1006156950739783,0.21618243123147524,0.0,0,0.0,554,0,63
P0-spatial,15,P0-spatial_K15,22,2,3.734141426532731,3.3483105640767263,5.892220951128024,6.53841034996215,0.993006993006993,0.9965034965034965,0.10566538531034042,0.21093082627034884,0.0,0,0.0,572,0,64
P0-spatial,15,P0-spatial_K15,23,2,3.73772206597355,3.2227321670168863,5.779877196546438,6.731723411131156,0.9862068965517241,0.9948275862068966,0.10819330370092126,0.21843974779233574,0.0,0,0.0,580,0,65
P0-spatial,15,P0-spatial_K15,24,2,3.675670580861067,3.3440264503543915,5.537190700284214,6.38294185038859,0.9932546374367622,0.9983136593591906,0.10727668688549788,0.2171660919120928,0.0,0,0.0,593,0,66
P0-spatial,15,P0-spatial_K15,25,2,3.728754036882569,3.345784464661108,5.569118208657642,6.690673757508421,0.9864864864864865,0.9915540540540541,0.1075279854194253,0.2279480337129613,0.0,0,0.0,592,0,67
P0-spatial,15,P0-spatial_K15,26,2,3.803754640803521,3.3457844646606816,5.892220951127683,6.992527816306083,0.9792746113989638,0.9913644214162349,0.10535189084959304,0.20549002796442378,0.0,0,0.0,579,0,68
P0-spatial,15,P0-spatial_K15,27,2,3.6081078313816985,3.291550810636039,5.353635790005654,6.38294185038859,0.9945945945945946,0.9963963963963964,0.0971290895677377,0.16199123452955802,0.0,0,0.0,555,0,69
P0-spatial,15,P0-spatial_K15,28,2,3.6694692781113183,3.1505231853535065,5.8398016521981235,6.690673757508421,0.994661921708185,0.998220640569395,0.10046832866780407,0.1724016932911381,0.0,0,0.0,562,0,70
P0-spatial,15,P0-spatial_K15,29,2,3.6507801434938374,3.2406431814685277,5.381245833336791,6.3478109901599,0.9879725085910653,0.9965635738831615,0.1029196651851244,0.19366263230666353,0.0,0,0.0,582,0,71
P1,15,P1_K15,0,2,2.8979037169911126,2.3608289916523972,4.887702374980422,5.509611888263841,0.9913494809688581,0.9982698961937716,0.09960583143647724,0.15110266520323687,0.0,0,0.0,578,0,42
P1,15,P1_K15,1,2,2.9060172424176094,2.297043129051417,4.777429979779981,5.686388181378265,0.9906542056074766,0.9981308411214953,0.09335025065924407,0.13469907955409882,0.0,0,0.0,535,0,43
P1,15,P1_K15,2,2,2.909869218494762,2.3608289916515446,5.003865106022773,5.7942516405130355,0.9929203539823008,1.0,0.10042333972789767,0.14843534242241532,0.0,0,0.0,565,0,44
P1,15,P1_K15,3,2,2.990069884011238,2.3608289916523972,5.021387730970389,5.8314612287256296,0.993322203672788,0.998330550918197,0.10514477584793971,0.18974676150213035,0.0,0,0.0,599,0,45
P1,15,P1_K15,4,2,2.8486573840688783,2.2902169731122513,4.777429979780834,5.621823823340033,0.9930675909878682,0.9982668977469671,0.09945289676737021,0.16622765599394387,0.0,0,0.0,577,0,46
P1,15,P1_K15,5,2,2.921801972471206,2.309756537477483,5.1095510239380175,5.888890414188538,0.9945155393053017,0.9981718464351006,0.09411880376804921,0.1418328034998792,0.0,0,0.0,547,0,47
P1,15,P1_K15,6,2,2.931447849295194,2.3034403922083335,5.021387730970517,5.725665277164467,0.9945054945054945,1.0,0.09625046812605759,0.16385976289867912,0.0,0,0.0,546,0,48
P1,15,P1_K15,7,2,3.0309227745907545,2.303440392208813,5.1095510239380815,6.027498511247984,0.9878048780487805,0.9982578397212544,0.10398676464011816,0.16536440748434655,0.0,0,0.0,574,0,49
P1,15,P1_K15,8,2,2.9715860337929394,2.303440392208813,5.022147310701939,6.0274985112476855,0.991304347826087,0.9947826086956522,0.10246801393382367,0.16131131972433246,0.0,0,0.0,575,0,50
P1,15,P1_K15,9,2,2.965635060224561,2.3608289916523972,5.021387730970304,5.725665277164467,0.9933444259567388,0.9983361064891847,0.10698033847810108,0.15272238119486362,0.0,0,0.0,601,0,51
P1,15,P1_K15,10,2,2.955308151079073,2.303440392208813,5.1095510239380815,5.774132966970082,0.9934102141680395,1.0,0.1067024566372868,0.18127795096079474,0.0,0,0.0,607,0,52
P1,15,P1_K15,11,2,3.060900035880732,2.4384746557102943,5.290793164495111,5.860565003926353,0.9914821124361158,1.0,0.10473311411427849,0.18145500587413282,0.0,0,0.0,587,0,53
P1,15,P1_K15,12,2,2.984363355409335,2.3608289916515446,5.190882024795144,5.853143506928859,0.9888682745825603,1.0,0.09460278852494435,0.14713607087522904,0.0,0,0.0,539,0,54
P1,15,P1_K15,13,2,2.9638123469741493,2.3608289916523972,5.021387730970602,5.856235797343928,0.9930313588850174,0.9965156794425087,0.10016281285599905,0.15596915032392575,0.0,0,0.0,574,0,55
P1,15,P1_K15,14,2,2.9494652253665854,2.309756537477483,5.09452401344663,5.880149815116625,0.9964850615114236,1.0,0.10125444736723657,0.1671781312807473,0.0,0,0.0,569,0,56
P1,15,P1_K15,15,2,2.9253368947445963,2.3608289916523972,4.894436696330331,5.7596670884107635,0.9982547993019197,1.0,0.09787125622765533,0.15445078197625423,0.0,0,0.0,573,0,57
P1,15,P1_K15,16,2,2.9478899825893032,2.30975653747695,5.080906198992011,5.834742681095492,0.9874776386404294,0.9946332737030411,0.09795650345714466,0.13770553675918146,0.0,0,0.0,559,0,58
P1,15,P1_K15,17,2,2.9402336959112376,2.297043129051417,4.909784030456837,5.996329432877302,0.9913494809688581,0.9982698961937716,0.10028492530374297,0.15313310309959505,0.0,0,0.0,578,0,59
P1,15,P1_K15,18,2,2.9206068130902976,2.2902169731122513,5.094524013446971,6.027498511247131,0.9853658536585366,0.991869918699187,0.10928112312201223,0.16998641580818777,0.0,0,0.0,615,0,60
P1,15,P1_K15,19,2,3.041014924335419,2.3608289916515446,5.184641243944839,6.140167999264334,0.9862542955326461,0.9965635738831615,0.10016452139407364,0.15120971550722587,0.0,0,0.0,582,0,61
P1,15,P1_K15,20,2,2.9494012366190128,2.3608289916523972,4.997761636505164,5.7082991347037035,0.9931506849315068,0.9948630136986302,0.10128131657139965,0.1519913022843546,0.0,0,0.0,584,0,62
P1,15,P1_K15,21,2,2.9208626530593635,2.309756537477483,4.802992411669693,5.578809079370493,0.989247311827957,1.0,0.09841836379757905,0.1531918187997748,0.0,0,0.0,558,0,63
