policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0,40,P0_K40,0,2,2.4101271628771976,2.289312018616272,3.159867561327687,3.4224994592312896,0.9982698961937716,0.9982698961937716,1.0,0.03665294361338677,0.14354548539909273,0.0,0,0.0,578,0,42
P0,40,P0_K40,1,2,2.4046479669898897,2.29033162493522,3.153965807831583,3.4224994592312896,0.9981308411214953,0.9981308411214953,1.0,0.03434108466598182,0.14101540081533623,0.0,0,0.0,535,0,43
P0,40,P0_K40,2,2,2.460712198540111,2.303379143108728,3.1761226640726083,3.6202060007262227,1.0,1.0,1.0,0.037029353300058944,0.11834592351248421,0.0,0,0.0,565,0,44
P0,40,P0_K40,3,2,2.432363260290335,2.3097903854342405,3.1593023515954433,3.499318095512365,0.998330550918197,0.998330550918197,0.998330550918197,0.038600753572915855,0.10857298785932434,0.0,0,0.0,599,0,45
P0,40,P0_K40,4,2,2.4840711710873267,2.3280896267556273,3.3841859039793576,3.6421265309067508,0.9948006932409013,0.9965337954939342,0.9982668977469671,0.0367730946089684,0.12865043539114093,0.0,0,0.0,577,0,46
P0,40,P0_K40,5,2,2.4329635858544334,2.309790385434667,3.1660984129268854,3.4224994592321423,0.9981718464351006,0.9981718464351006,1.0,0.034631370367682754,0.12650855040867068,0.0,0,0.0,547,0,47
P0,40,P0_K40,6,2,2.4312067403634225,2.309790385434667,3.1660984129274397,3.4224994592321423,0.998165137614679,0.998165137614679,1.0,0.03537407733611529,0.11406216725063942,0.0,0,0.0,545,0,48
P0,40,P0_K40,7,2,2.4640450035565666,2.3033791431086215,3.2585735103808133,3.545734131542019,0.9965156794425087,1.0,1.0,0.03818802324655818,0.12221302136005714,0.0,0,0.0,574,0,49
P0,40,P0_K40,8,2,2.4421856480302,2.32581918943481,3.200048923915959,3.499318095512397,0.9965217391304347,0.9965217391304347,0.9982608695652174,0.037670531956797086,0.13990585242878026,0.0,0,0.0,575,0,50
P0,40,P0_K40,9,2,2.465998927689402,2.3189400060948273,3.16609841292696,3.4892548611113625,0.9944852941176471,0.9963235294117647,0.9981617647058824,0.035476463663089534,0.1217790112066332,0.0,0,0.0,544,0,51
P0,40,P0_K40,10,2,2.39433525027118,2.290331624934474,3.147656621383419,3.4224994592319185,0.9983552631578947,0.9983552631578947,1.0,0.039237477516159865,0.14948878245053288,0.0,0,0.0,608,0,52
P0,40,P0_K40,11,2,2.517012745123616,2.360763367617551,3.3883859601359627,3.6421265309067508,0.9948892674616695,0.9982964224872232,1.0,0.03848309775397942,0.12744065376900907,0.0,0,0.0,587,0,53
P0,40,P0_K40,12,2,2.4270352278061136,2.2903316249343675,3.166098412927738,3.642126530905898,1.0,1.0,1.0,0.03473100635960681,0.1106124521506355,0.0,0,0.0,539,0,54
P0,40,P0_K40,13,2,2.4189171246375674,2.290331624934847,3.1660984129268854,3.4993180955124368,0.9965156794425087,0.9965156794425087,0.9965156794425087,0.036785335928089934,0.12586124503327628,0.0,0,0.0,574,0,55
P0,40,P0_K40,14,2,2.3985629512608373,2.29033162493522,3.1497596835327215,3.4224994592318865,0.9982425307557118,1.0,1.0,0.037192978789583366,0.11718417601508566,0.0,0,0.0,569,0,56
P0,40,P0_K40,15,2,2.4356757439473355,2.3280896267549878,3.158171932130273,3.4494222029615558,1.0,1.0,1.0,0.03600584846779429,0.127535691651289,0.0,0,0.0,573,0,57
P0,40,P0_K40,16,2,2.4669380729536527,2.3097903854340274,3.1660984129268854,3.642126530905898,0.9946332737030411,0.9964221824686941,0.998211091234347,0.03606689287012386,0.13087460882999036,0.0,0,0.0,559,0,58
P0,40,P0_K40,17,2,2.456831299763819,2.360763367617551,3.1660984129268854,3.512484395670098,0.9982698961937716,1.0,1.0,0.0369138743079185,0.12071080559743357,0.0,0,0.0,578,0,59
P0,40,P0_K40,18,2,2.4684603747856344,2.3607633676166984,3.24643928236398,3.642126530905898,0.9967479674796748,0.9983739837398374,0.9983739837398374,0.040290763284947684,0.13265531980666947,0.0,0,0.0,615,0,60
