policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0-spatial,30,P0-spatial_K30,0,2,2.791270218436235,2.6535257312424676,3.856263590281914,4.401341954043315,0.9965397923875432,1.0,0.04959909904441355,0.12814726511709526,0.0,0,0.0,578,0,42
P0-spatial,30,P0-spatial_K30,1,2,2.8271226159875664,2.653525731242894,3.825966287401002,4.297342206580422,0.9981308411214953,1.0,0.04653554654278318,0.1237266277861388,0.0,0,0.0,535,0,43
P0-spatial,30,P0-spatial_K30,2,2,2.8066808374670433,2.6512845197402157,3.8259662874003197,4.213933505994703,0.9964601769911504,1.0,0.05001887411235934,0.12979619566498674,0.0,0,0.0,565,0,44
P0-spatial,30,P0-spatial_K30,3,2,2.779026866505948,2.6189455410994356,3.83649620895787,4.389781103208038,0.998330550918197,0.998330550918197,0.052154349671702405,0.17863934984022284,0.0,0,0.0,599,0,45
P0-spatial,30,P0-spatial_K30,4,2,2.795875812518374,2.618945541098583,4.026746538824568,4.497272281115315,0.9948006932409013,0.9982668977469671,0.04962573751468836,0.13412960174610664,0.0,0,0.0,577,0,46
P0-spatial,30,P0-spatial_K30,5,2,2.766447552343388,2.653525731241615,3.823722623267713,4.213933505994021,0.9981718464351006,1.0,0.04677838710952091,0.1277804483775721,0.0,0,0.0,547,0,47
P0-spatial,30,P0-spatial_K30,6,2,2.7498407118451147,2.5588543569662647,3.7718676808808027,4.21393350599466,0.9981684981684982,1.0,0.04779733228707726,0.1309823751952264,0.0,0,0.0,546,0,48
P0-spatial,30,P0-spatial_K30,7,2,2.7738733696308766,2.6535257312424676,3.6422620723065293,4.101174800208734,0.9982578397212544,1.0,0.05150546446805189,0.12302650960170809,0.0,0,0.0,574,0,49
P0-spatial,30,P0-spatial_K30,8,2,2.8413586393915096,2.723313366628153,3.9523136845491535,4.2139335059948735,0.9947826086956522,0.9982608695652174,0.05098638543324512,0.14824957873383873,0.0,0,0.0,575,0,50
P0-spatial,30,P0-spatial_K30,9,2,2.857534390229118,2.6661616709299096,4.025897574656483,4.526006368316829,0.9963235294117647,0.9981617647058824,0.04800630106011672,0.11686470359376576,0.0,0,0.0,544,0,51
P0-spatial,30,P0-spatial_K30,10,2,2.7878131809839677,2.6512845197401624,3.9523136845491535,4.298597486363261,0.9983552631578947,1.0,0.053107756337265305,0.1386942599905052,0.0,0,0.0,608,0,52
P0-spatial,30,P0-spatial_K30,11,2,2.877073061479096,2.683057379931597,4.025897574656057,4.610761043509797,0.9982964224872232,1.0,0.05200972361145887,0.11523479250727248,0.0,0,0.0,587,0,53
P0-spatial,30,P0-spatial_K30,12,2,2.7818234188061144,2.6535257312417215,3.7718676808809732,4.213933505994021,0.9981447124304267,1.0,0.04694038557917477,0.14218131529081215,0.0,0,0.0,539,0,54
P0-spatial,30,P0-spatial_K30,13,2,2.897603138711424,2.699014224490668,4.065412122180746,4.497272281116125,0.9965156794425087,0.9965156794425087,0.049955731541945256,0.13436930568292346,0.0,0,0.0,574,0,55
P0-spatial,30,P0-spatial_K30,14,2,2.784607942593826,2.6512845197402157,3.894384647368213,4.213933505994021,1.0,1.0,0.050317025952475135,0.15278448971565914,0.0,0,0.0,569,0,56
