policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0-spatial,25,P0-spatial_K25,0,2,2.8063726284317623,2.6114796577250843,3.8579946632250994,4.694050683922342,0.9965397923875432,1.0,0.05955355850796851,0.13787504883232587,0.0,0,0.0,578,0,42
P0-spatial,25,P0-spatial_K25,1,2,2.7887141567501517,2.5484627728022247,3.843687536805448,4.381993477274477,0.9981308411214953,1.0,0.05576111408272071,0.12511841448241331,0.0,0,0.0,535,0,43
P0-spatial,25,P0-spatial_K25,2,2,2.828733574928705,2.62655669798189,3.807113315893048,4.381993477274477,0.9964601769911504,1.0,0.06007209257239408,0.14535947245641687,0.0,0,0.0,565,0,44
P0-spatial,25,P0-spatial_K25,3,2,2.780014155080081,2.5484627728022247,3.807113315892451,4.381993477273838,0.998330550918197,0.998330550918197,0.0625875663753124,0.17930749089950845,0.0,0,0.0,599,0,45
P0-spatial,25,P0-spatial_K25,4,2,2.8183289635187103,2.5214437783407107,3.901653487280356,4.481113971660022,0.9948006932409013,0.9982668977469671,0.05960229560543233,0.13412960174610664,0.0,0,0.0,577,0,46
P0-spatial,25,P0-spatial_K25,5,2,2.7954268638790154,2.6265566979822097,3.8071133158928774,4.381993477274477,0.9981718464351006,1.0,0.05619696803702033,0.1336246340206282,0.0,0,0.0,547,0,47
P0-spatial,25,P0-spatial_K25,6,2,2.7850730686521055,2.5484627728022247,3.857994663224247,4.381993477274477,0.998165137614679,1.0,0.0573638298842818,0.1412067567487391,0.0,0,0.0,545,0,48
P0-spatial,25,P0-spatial_K25,7,2,2.8264372669270887,2.6264852352795742,3.8427302590248424,4.7865702050044865,0.9965156794425087,0.9982578397212544,0.06192628623883693,0.1226596798905913,0.0,0,0.0,574,0,49
P0-spatial,25,P0-spatial_K25,8,2,2.797898139286852,2.5484627728020115,3.857994663224247,4.48596146449666,0.9947826086956522,0.9982608695652174,0.0610844966962427,0.15535752323816454,0.0,0,0.0,575,0,50
P0-spatial,25,P0-spatial_K25,9,2,2.851144525992392,2.6265566979822097,3.9416023320560485,4.477653781910065,0.9963235294117647,0.9981617647058824,0.05759376727950204,0.13480935214158288,0.0,0,0.0,544,0,51
P0-spatial,25,P0-spatial_K25,10,2,2.7793324491180336,2.5484627728022247,3.8957222717539515,4.464755282483508,0.9983525535420099,1.0,0.06359759600185479,0.1373064500642465,0.0,0,0.0,607,0,52
