policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0-spatial,10,P0-spatial_K10,0,2,4.2520238695662895,3.6408695197849994,6.690673757508421,8.3039769858787,0.9463667820069204,0.9757785467128027,0.15717344406134756,0.28616037302395086,0.0,0,0.0,578,0,42
P0-spatial,10,P0-spatial_K10,1,2,4.217099571866509,3.610837171329422,6.729146733795062,8.712309871588117,0.9420560747663551,0.9757009345794393,0.14698399747949284,0.2476605167924181,0.0,0,0.0,535,0,43
P0-spatial,10,P0-spatial_K10,2,2,4.4371423631852585,3.8433343181029045,7.420931413262792,8.919871912619207,0.9330985915492958,0.9683098591549296,0.15995353592330805,0.24819774262719796,0.0,0,0.0,568,0,44
P0-spatial,10,P0-spatial_K10,3,2,4.433540155323828,3.8259662874003197,7.3219985248574115,8.973730982611103,0.9398998330550918,0.9699499165275459,0.16629492857861836,0.2573730364959534,0.0,0,0.0,599,0,45
P0-spatial,10,P0-spatial_K10,4,2,4.185013753110671,3.5524548128694278,7.101275010036271,7.964514068027368,0.9532062391681109,0.9722703639514731,0.156828924763527,0.2607431036898582,0.0,0,0.0,577,0,46
P0-spatial,10,P0-spatial_K10,5,2,4.323149823919768,3.610837171329422,7.420931413262792,8.605584391338336,0.9396709323583181,0.979890310786106,0.14878274210785142,0.21240830369620944,0.0,0,0.0,547,0,47
P0-spatial,10,P0-spatial_K10,6,2,4.145977537513133,3.8083808364595484,6.533049850658301,7.735921161850952,0.9652014652014652,0.9926739926739927,0.15095440466693363,0.2676701486077233,0.0,0,0.0,546,0,48
P0-spatial,10,P0-spatial_K10,7,2,4.478093057225257,3.8007024755501106,7.487424963940597,9.051985129510916,0.9320557491289199,0.9651567944250871,0.16422097773629035,0.26708101285246666,0.0,0,0.0,574,0,49
P0-spatial,10,P0-spatial_K10,8,2,4.623941462724242,3.857994663224247,7.487424963940725,9.396465690742083,0.9182608695652174,0.9634782608695652,0.16312765950823063,0.2632748826733274,0.0,0,0.0,575,0,50
P0-spatial,10,P0-spatial_K10,9,2,4.592499945964343,3.8433343181029045,7.480789734568191,9.000552712627561,0.9356617647058824,0.96875,0.15338220935415942,0.2502719139400661,0.0,0,0.0,544,0,51
P0-spatial,10,P0-spatial_K10,10,2,4.253143743362105,3.765194216474015,6.817089903711682,7.8655161142895444,0.9523026315789473,0.9819078947368421,0.16816177081661648,0.2538801651424422,0.0,0,0.0,608,0,52
P0-spatial,10,P0-spatial_K10,11,2,4.510952849928956,3.8817350990758825,7.487424963940725,9.419647845604311,0.9267461669505963,0.9659284497444633,0.16549504327470033,0.2584285718690227,0.0004929299900022168,1,0.0017035775127768314,587,1,53
P0-spatial,10,P0-spatial_K10,12,2,4.499947419206094,3.8083808364595484,7.549105146854749,9.029948140023006,0.9332096474953617,0.9703153988868275,0.15000834757299655,0.23799167372606603,0.0,0,0.0,539,0,54
P0-spatial,10,P0-spatial_K10,13,2,4.458685468618701,3.8171735619303604,7.420931413262792,8.955228110193826,0.9407665505226481,0.9703832752613241,0.15875669122669675,0.2540110757758119,0.0,0,0.0,574,0,55
P0-spatial,10,P0-spatial_K10,14,2,4.28237723366235,3.7829483460120628,6.690673757507717,7.946459961775615,0.9519230769230769,0.9791666666666666,0.17332893043312553,0.2850766345582674,0.0,0,0.0,624,0,56
P0-spatial,10,P0-spatial_K10,15,2,4.34720507704312,3.9523136845489404,6.690673757508421,7.7508298474660355,0.9650959860383944,0.987783595113438,0.15488952787776344,0.26917354007323574,0.0,0,0.0,573,0,57
P0-spatial,10,P0-spatial_K10,16,2,4.467760066752088,3.8708911504568277,7.420931413262792,9.109281302179348,0.9338103756708408,0.9677996422182469,0.15536339979927855,0.2710942131177624,0.0,0,0.0,559,0,58
P0-spatial,10,P0-spatial_K10,17,2,4.465582754205064,3.8083808364596017,7.420931413262792,8.947430610773417,0.9342560553633218,0.9705882352941176,0.15917393315098988,0.27226972420896894,0.0,0,0.0,578,0,59
P0-spatial,10,P0-spatial_K10,18,2,4.504042247651342,3.712831740425031,7.678042597696106,9.143862871720836,0.9203252032520325,0.9691056910569106,0.17358252587602477,0.29666619617286805,0.0,0,0.0,615,0,60
P0-spatial,10,P0-spatial_K10,19,2,4.499413711198232,3.808380836460028,7.439126677329425,8.96970918054674,0.9381443298969072,0.9673539518900344,0.15866729889621137,0.24986459692405272,0.0,0,0.0,582,0,61
P0-spatial,10,P0-spatial_K10,20,2,4.3451606842929005,3.8259662874011724,6.690673757508421,7.761183099729416,0.964041095890411,0.9828767123287672,0.1600085176888611,0.2730331971798923,0.0,0,0.0,584,0,62
P0-spatial,10,P0-spatial_K10,21,2,4.2655217234524585,3.8083808364595484,7.026202652378842,7.9601473842427595,0.9512635379061372,0.9783393501805054,0.15387794490889767,0.24647630653823815,0.0,0,0.0,554,0,63
P0-spatial,10,P0-spatial_K10,22,2,4.545376674486276,3.8083808364595484,7.712052514978609,9.370412494941842,0.916083916083916,0.9667832167832168,0.16310151607889795,0.2572024303873927,0.0,0,0.0,572,0,64
P0-spatial,10,P0-spatial_K10,23,2,4.672215258710519,3.963516103566107,7.5502136069309245,9.503259836299662,0.9224137931034483,0.9586206896551724,0.16766699971593987,0.29591165892952126,0.0,0,0.0,580,0,65
P0-spatial,10,P0-spatial_K10,24,2,4.375490803202913,3.8259662874011724,7.420931413262792,8.22641359213182,0.9477234401349073,0.9831365935919055,0.16503202826325383,0.285207704422395,0.0,0,0.0,593,0,66
P0-spatial,10,P0-spatial_K10,25,2,4.556671141348828,3.9747185225828474,7.485213220816163,9.134601950530733,0.9324324324324325,0.9712837837837838,0.16615434842520962,0.2985963352693044,0.0,0,0.0,592,0,67
