policy,n_reps,Mean RT (min),Mean RT (min) 95% CI,P90 RT (min),P90 RT (min) 95% CI,8-min Coverage,8-min Coverage 95% CI,Mean Utilization,Mean Utilization 95% CI,Queue Fraction,Queue Fraction 95% CI
P0,30,3.165,"[3.141, 3.189]",5.334,"[5.205, 5.463]",0.997,"[0.996, 0.997]",0.076,"[0.075, 0.077]",0.0,"[nan, nan]"
P1,30,2.619,"[2.599, 2.638]",3.988,"[3.923, 4.053]",0.996,"[0.995, 0.997]",0.074,"[0.073, 0.076]",0.0,"[nan, nan]"
P2,30,2.567,"[2.547, 2.586]",3.752,"[3.706, 3.797]",0.997,"[0.996, 0.998]",0.074,"[0.073, 0.075]",0.0,"[nan, nan]"
