K,F_statistic,p_value,eta_squared,significant,effect_size
10,194.36022995308414,8.022004124144346e-33,0.8171194906833295,*,Large
15,1874.625466425029,2.945321328940911e-72,0.9773216086426946,*,Large
20,1280.5626624749973,2.9597922739691044e-65,0.9671465699979132,*,Large
25,744.3131918283608,1.9048963841109056e-55,0.9447838644348623,*,Large
30,1125.2629618863145,6.732595499726417e-63,0.9627811614343207,*,Large
35,390.59456214952945,3.4622916431128523e-44,0.8997914192138251,*,Large
40,120.45014933618452,8.596440388346781e-26,0.7346754475300853,*,Large
45,84.54913686447914,4.012344073738707e-21,0.6602866597528263,*,Large
48,74.09535545942228,1.6304606321460912e-19,0.630087431344087,*,Large
