mean_response_time,p90_response_time,coverage_8min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,cbd_mean_rt,cbd_coverage_8min,non_cbd_mean_rt,non_cbd_coverage_8min,random_seed,experiment_id,scenario_id,replication,policy,K,scenario_type
8.68675147529054,20.385547933159884,0.6225026288117771,0.1499800557963362,0.6184735575068648,0.0,0,0.0,951,0,2.936523589110419,0.9884836852207294,15.653888053662266,0.17906976744186046,42,cbd_robustness,A_cbdsurge_P0,0,P0,20,cbd_surge
8.229596963143411,19.616755286998757,0.6548881036513545,0.13339514760716534,0.5985063724770076,0.0,0,0.0,849,0,2.863491492069482,1.0,15.379490241909497,0.19505494505494506,43,cbd_robustness,A_cbdsurge_P0,1,P0,20,cbd_surge
8.349445258529027,20.034358050379097,0.631413612565445,0.153712444565026,0.5986956986798424,0.0,0,0.0,955,0,2.987409845640176,0.9942857142857143,14.896116402172392,0.1883720930232558,44,cbd_robustness,A_cbdsurge_P0,2,P0,20,cbd_surge
8.015829689727239,19.248385946451663,0.6528384279475983,0.1430752640457023,0.5926669791032093,0.0,0,0.0,916,0,2.919124328421769,0.9961759082217974,14.798468122202456,0.19592875318066158,45,cbd_robustness,A_cbdsurge_P0,3,P0,20,cbd_surge
7.959304582635463,18.05860259416832,0.6374745417515275,0.15297212764899668,0.6118880888076019,0.0,0,0.0,982,0,2.951562569302409,0.9876325088339223,14.772722802699185,0.16105769230769232,46,cbd_robustness,A_cbdsurge_P0,4,P0,20,cbd_surge
8.366733454441647,21.074175336692008,0.6484983314794216,0.13969570189615818,0.5853452284196182,0.0,0,0.0,899,0,2.9201197858668295,0.9980430528375733,15.539979806611058,0.18814432989690721,47,cbd_robustness,A_cbdsurge_P0,5,P0,20,cbd_surge
7.88252482609285,19.12289436837194,0.6469298245614035,0.1436780868820276,0.604774955061444,0.0,0,0.0,912,0,2.8933621162404193,0.9923954372623575,14.681228415166373,0.17616580310880828,48,cbd_robustness,A_cbdsurge_P0,6,P0,20,cbd_surge
8.480667941721777,19.8389149054382,0.6225806451612903,0.15086022265679408,0.5828558853636212,0.0,0,0.0,930,0,2.978116397307319,0.9885496183206107,15.58248323549807,0.15024630541871922,49,cbd_robustness,A_cbdsurge_P0,7,P0,20,cbd_surge
7.83980478803625,18.725215513896757,0.6482525366403608,0.1388703180076354,0.5874942562330617,0.0,0,0.0,887,0,2.911457556796437,0.9959595959595959,14.063100398913054,0.20918367346938777,50,cbd_robustness,A_cbdsurge_P0,8,P0,20,cbd_surge
8.918297937673552,21.688378072057276,0.609860664523044,0.15119882132129106,0.6457680755041568,0.0,0,0.0,933,0,3.0033537549879603,0.9919678714859438,15.68988920888602,0.1724137931034483,51,cbd_robustness,A_cbdsurge_P0,9,P0,20,cbd_surge
8.976999368275404,20.477476080895677,0.5943181818181819,0.14078891698866064,0.6064345384860373,0.0,0,0.0,880,0,2.8850022625205187,0.9956236323851203,15.558660543996409,0.1607565011820331,52,cbd_robustness,A_cbdsurge_P0,10,P0,20,cbd_surge
