mean_response_time,p90_response_time,coverage_6min,coverage_8min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,cbd_mean_rt,cbd_coverage_6min,cbd_coverage_8min,non_cbd_mean_rt,non_cbd_coverage_6min,non_cbd_coverage_8min,random_seed,experiment_id,scenario_id,replication,policy,K,scenario_type
3.2801777885837002,5.434663728848369,0.9364406779661016,0.9936440677966102,0.12385433034881062,0.25576221682324624,0.0,0,0.0,944,0,2.8363410949600336,0.9980430528375733,1.0,3.8039665886799896,0.8637413394919169,0.9861431870669746,42,cbd_robustness,A_cbdsurge_P0,0,P0,20,cbd_surge
3.2516958950311614,5.892374602398718,0.9269729093050648,0.9941107184923439,0.11243166543044263,0.19848590378733477,0.0,0,0.0,849,0,2.8181032993193584,0.9979919678714859,1.0,3.8668785521949163,0.8262108262108262,0.9857549857549858,43,cbd_robustness,A_cbdsurge_P0,1,P0,20,cbd_surge
3.3543731481614616,5.892374602399144,0.9138858988159311,0.9870828848223897,0.12614167128231554,0.2233865965442261,0.0,0,0.0,929,0,2.8060685177639857,0.9925512104283054,1.0,4.105494542353922,0.8061224489795918,0.9693877551020408,44,cbd_robustness,A_cbdsurge_P0,2,P0,20,cbd_surge
3.1899001869419243,5.385265389323193,0.9345692475463467,0.9934569247546347,0.1213486688395435,0.1932817664782235,0.0,0,0.0,917,0,2.8137033283598747,0.9961977186311787,1.0,3.695985986466627,0.8516624040920716,0.9846547314578005,45,cbd_robustness,A_cbdsurge_P0,3,P0,20,cbd_surge
3.2739245618272133,5.5860451829001345,0.9338159255429163,0.9937952430196484,0.1282722168272566,0.24432619485748383,0.0,0,0.0,967,0,2.875040582890762,0.99812734082397,1.0,3.765850762178402,0.8545034642032333,0.9861431870669746,46,cbd_robustness,A_cbdsurge_P0,4,P0,20,cbd_surge
3.306516248101177,5.723354243445001,0.926829268292683,0.9933481152993349,0.11771155337559161,0.21448195764616948,0.0,0,0.0,902,0,2.8804455977355787,0.9981167608286252,0.9981167608286252,3.916337044177007,0.8247978436657682,0.9865229110512129,47,cbd_robustness,A_cbdsurge_P0,5,P0,20,cbd_surge
3.2699437870824273,5.348748557660712,0.9429824561403509,0.9956140350877193,0.12281164884840898,0.2274811972733834,0.0,0,0.0,912,0,2.85653375164873,0.99812734082397,1.0,3.853967487933205,0.8650793650793651,0.9894179894179894,48,cbd_robustness,A_cbdsurge_P0,6,P0,20,cbd_surge
3.308288304768234,5.725743903405345,0.9208791208791208,0.9923076923076923,0.12428701061747245,0.2487716613600788,0.0,0,0.0,910,0,2.836889396583678,0.993963782696177,1.0,3.875564956990325,0.8329297820823245,0.9830508474576272,49,cbd_robustness,A_cbdsurge_P0,7,P0,20,cbd_surge
3.2069938774657794,5.281127691850317,0.9383938393839384,0.9966996699669967,0.12148045733857063,0.24574885102661018,0.0,0,0.0,909,0,2.7940686964921713,1.0,1.0,3.744319302833967,0.8582278481012658,0.9924050632911392,50,cbd_robustness,A_cbdsurge_P0,8,P0,20,cbd_surge
3.3015503017139265,5.892374602398718,0.9217577706323687,0.9967845659163987,0.1252046469941565,0.2425013561312135,0.0,0,0.0,933,0,2.8351435048012545,0.9960552268244576,1.0,3.856640081138163,0.8333333333333334,0.9929577464788732,51,cbd_robustness,A_cbdsurge_P0,9,P0,20,cbd_surge
3.344778464630304,5.8923746023995704,0.9097744360902256,0.9892588614393125,0.122499818099576,0.25194468715115415,0.0,0,0.0,931,0,2.820389748950349,0.9919028340080972,1.0,3.9375657084424276,0.816933638443936,0.977116704805492,52,cbd_robustness,A_cbdsurge_P0,10,P0,20,cbd_surge
3.2612846300289977,5.892374602398718,0.9253731343283582,0.9919632606199771,0.11520256531657332,0.19178334191022808,0.0,0,0.0,871,0,2.816982304697661,0.9916317991631799,0.99581589958159,3.801682878141922,0.8447837150127226,0.9872773536895675,53,cbd_robustness,A_cbdsurge_P0,11,P0,20,cbd_surge
3.306417099570405,5.892374602398718,0.9305711086226204,0.9910414333706606,0.1175747337172213,0.23442359367232116,0.0,0,0.0,893,0,2.808901697773935,0.9978632478632479,1.0,3.8542693537839283,0.8564705882352941,0.9811764705882353,54,cbd_robustness,A_cbdsurge_P0,12,P0,20,cbd_surge
3.3004767588994017,5.6503015501602265,0.929608938547486,0.9910614525139665,0.11867510070128491,0.21677402636756224,0.0,0,0.0,895,0,2.8267225292232645,0.9957716701902748,1.0,3.8314856466643623,0.8554502369668247,0.981042654028436,55,cbd_robustness,A_cbdsurge_P0,13,P0,20,cbd_surge
3.2545835103280343,5.4548606629194865,0.9354166666666667,0.9947916666666666,0.12872232828553803,0.23390068764264876,0.0,0,0.0,960,0,2.7856783672019336,0.994328922495274,0.996219281663516,3.830107456299514,0.8631090487238979,0.9930394431554525,56,cbd_robustness,A_cbdsurge_P0,14,P0,20,cbd_surge
3.254341803186137,5.697702562435495,0.9375722543352601,0.9942196531791907,0.11369018507999498,0.18778878873673902,0.0,0,0.0,865,0,2.797625683810453,1.0,1.0,3.802865997449045,0.8625954198473282,0.9872773536895675,57,cbd_robustness,A_cbdsurge_P0,15,P0,20,cbd_surge
3.2694875386866573,5.892374602399144,0.9155092592592593,0.9953703703703703,0.11578645295730858,0.21219979297141944,0.0,0,0.0,864,0,2.825268113643619,0.9934065934065934,1.0,3.7636680726587426,0.8288508557457213,0.9902200488997555,58,cbd_robustness,A_cbdsurge_P0,16,P0,20,cbd_surge
3.299965052898516,5.874067121579287,0.9252450980392157,0.9926470588235294,0.10703766684402545,0.20791251722596518,0.0,0,0.0,816,0,2.8762884212579034,0.9937238493723849,1.0,3.899129046757134,0.8284023668639053,0.9822485207100592,59,cbd_robustness,A_cbdsurge_P0,17,P0,20,cbd_surge
3.3703242304990306,5.8923746023995704,0.9059304703476483,0.9826175869120655,0.12966417587159257,0.2743165128702789,0.0,0,0.0,978,0,2.812923645941118,0.996116504854369,1.0,3.99032704053645,0.8056155507559395,0.9632829373650108,60,cbd_robustness,A_cbdsurge_P0,18,P0,20,cbd_surge
3.315778627465328,5.537138020291792,0.9322548028311426,0.9919110212335692,0.1296404136873614,0.257536696054507,0.0,0,0.0,989,0,2.8450873865556856,0.9946996466431095,0.9982332155477032,3.9455924391789394,0.8486997635933806,0.983451536643026,61,cbd_robustness,A_cbdsurge_P0,19,P0,20,cbd_surge
3.2643795297397595,5.725743903405771,0.9268841394825647,0.9898762654668166,0.11707028810244866,0.1883172604546562,0.0,0,0.0,889,0,2.8384008203849835,0.9898167006109979,1.0,3.7898959777126113,0.8492462311557789,0.9773869346733668,62,cbd_robustness,A_cbdsurge_P0,20,P0,20,cbd_surge
3.2660219328879307,5.692132764919534,0.9288214702450408,0.9906651108518086,0.11386950979690147,0.21162242821912813,0.0,0,0.0,857,0,2.7978488980129836,0.9978632478632479,1.0,3.829273810321029,0.8457583547557841,0.9794344473007712,63,cbd_robustness,A_cbdsurge_P0,21,P0,20,cbd_surge
3.3254151040143967,5.892374602399144,0.9204188481675393,0.993717277486911,0.1271831523940319,0.2287860856464402,0.0,0,0.0,955,0,2.875930741631243,0.9925512104283054,1.0,3.9028627178894046,0.8277511961722488,0.9856459330143541,64,cbd_robustness,A_cbdsurge_P0,22,P0,20,cbd_surge
3.239005547376642,5.123553460319755,0.9346195069667739,0.9935691318327974,0.12684022511824625,0.20868368345840574,0.0,0,0.0,933,0,2.827023821047929,1.0,1.0,3.790379587124843,0.8471177944862155,0.9849624060150376,65,cbd_robustness,A_cbdsurge_P0,23,P0,20,cbd_surge
3.3144471330620235,5.892374602399144,0.919908466819222,0.9897025171624714,0.1155377512313119,0.24642380506311273,0.0,0,0.0,874,0,2.8848738646079406,0.9875518672199171,0.9937759336099585,3.8426469172326057,0.8367346938775511,0.9846938775510204,66,cbd_robustness,A_cbdsurge_P0,24,P0,20,cbd_surge
