experiment_id,scenario_id,replication,policy,K,demand_multiplier,service_time_mean,mean_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
exp3_demand_sensitivity,P0_K20_d0.5,0,P0,20,0.5,25.0,3.1017774170273027,5.0214532528383415,5.0214532528383415,0.9442622950819672,0.9967213114754099,1.0,0.03939808291983603,0.08569565678626716,0.0,0,0.0,305,0,42
exp3_demand_sensitivity,P0_K20_d0.5,1,P0,20,0.5,25.0,3.120528741167305,4.540874724738131,4.540874724738131,0.9664179104477612,1.0,1.0,0.03523331078462944,0.10039985541861303,0.0,0,0.0,268,0,43
exp3_demand_sensitivity,P0_K20_d0.5,2,P0,20,0.5,25.0,3.1318739741994905,5.093761038327216,5.093761038327216,0.9337979094076655,0.9930313588850174,1.0,0.03902282544839991,0.09205684362585315,0.0,0,0.0,287,0,44
exp3_demand_sensitivity,P0_K20_d0.5,3,P0,20,0.5,25.0,3.0617118327235873,5.0214532528383415,5.0214532528383415,0.9448275862068966,1.0,1.0,0.03825803085527531,0.0838487480637971,0.0,0,0.0,290,0,45
exp3_demand_sensitivity,P0_K20_d0.5,4,P0,20,0.5,25.0,3.2332935181820135,5.892374602398718,5.892374602398718,0.93359375,0.99609375,0.99609375,0.03450376841417488,0.1026152482207333,0.0,0,0.0,256,0,46
exp3_demand_sensitivity,P0_K20_d0.5,5,P0,20,0.5,25.0,3.0219379821090717,5.021453252837915,5.021453252837915,0.9640287769784173,1.0,1.0,0.03623178742326856,0.06369796750818135,0.0,0,0.0,278,0,47
exp3_demand_sensitivity,P0_K20_d0.5,6,P0,20,0.5,25.0,3.2165327689556173,5.537138020291792,5.537138020291792,0.940959409594096,0.996309963099631,0.996309963099631,0.0362698911846888,0.08765644793796772,0.0,0,0.0,271,0,48
exp3_demand_sensitivity,P0_K20_d0.5,7,P0,20,0.5,25.0,3.050677871139397,5.0214532528383415,5.0214532528383415,0.9697986577181208,0.9966442953020134,1.0,0.04090059779353306,0.07661854158174339,0.0,0,0.0,298,0,49
exp3_demand_sensitivity,P0_K20_d0.5,8,P0,20,0.5,25.0,3.1685025350939013,5.148041970614061,5.148041970614061,0.9429530201342282,0.9966442953020134,1.0,0.039878386456968694,0.08509515229466251,0.0,0,0.0,298,0,50
exp3_demand_sensitivity,P0_K20_d0.5,9,P0,20,0.5,25.0,3.0636954034011663,4.895329484983281,4.895329484983281,0.9434628975265018,0.9964664310954063,0.9964664310954063,0.038046095149284136,0.07355420880682567,0.0,0,0.0,283,0,51
exp3_demand_sensitivity,P0_K20_d0.5,10,P0,20,0.5,25.0,3.0869417386745557,5.093761038326427,5.093761038326427,0.9548611111111112,0.9965277777777778,0.9965277777777778,0.03815802329623471,0.07630049895055316,0.0,0,0.0,288,0,52
