policy,capacity,firehouses_used,max_units_per_fh,response_time_mean,response_time_p90,coverage_fraction,proxy_weighted_rt_min
P0,1,20.0,1.0,3.1044103337458835,4.070315282078661,0.9969482808941869,1.302
P0,2,20.0,1.0,3.1044103337458835,4.070315282078661,0.9969482808941867,1.302
P0,3,20.0,1.0,3.1044103337458835,4.070315282078661,0.9969482808941869,1.302
P0,4,20.0,1.0,3.1044103337458835,4.070315282078661,0.9969482808941869,1.302
P0,5,20.0,1.0,3.1044103337458835,4.070315282078661,0.9969482808941867,1.302
P1_demand,1,20.0,1.0,2.5814148324378094,3.814169492584306,0.9969305223251819,0.764
P1_demand,2,18.0,2.0,2.612005810090724,3.982487128277964,0.996484644332926,0.824
P1_demand,3,18.0,2.0,2.612005810090724,3.982487128277964,0.996484644332926,0.824
P1_demand,4,18.0,2.0,2.612005810090724,3.982487128277964,0.996484644332926,0.824
P1_demand,5,18.0,2.0,2.612005810090724,3.982487128277964,0.996484644332926,0.824
P2_optimised,1,20.0,1.0,2.5506249178873315,3.7106499655114833,0.9967047291837918,0.731
P2_optimised,2,20.0,1.0,2.5506249178873315,3.7106499655114833,0.9967047291837918,0.731
P2_optimised,3,20.0,1.0,2.5506249178873315,3.7106499655114833,0.9967047291837918,0.731
P2_optimised,4,20.0,1.0,2.5506249178873315,3.7106499655114833,0.9967047291837918,0.731
P2_optimised,5,20.0,1.0,2.5506249178873315,3.7106499655114833,0.9967047291837918,0.731
