policy,capacity,firehouses_used,max_units_per_fh,response_time_mean,response_time_p90,coverage_fraction,proxy_weighted_rt_min
P0_spatial,1,40,1,2.442960678245962,3.2992075217406085,0.9983751518989616,0.777
P0_spatial,2,40,1,2.442960678245962,3.2992075217406085,0.9983751518989616,0.777
P0_spatial,3,40,1,2.442960678245962,3.2992075217406085,0.9983751518989616,0.777
P0_spatial,4,40,1,2.442960678245962,3.2992075217406085,0.9983751518989616,0.777
P0_spatial,5,40,1,2.442960678245962,3.2992075217406085,0.9983751518989616,0.777
P1_demand,1,40,1,2.392391521837921,3.169702298880717,0.9974365914272192,0.716
P1_demand,2,22,2,2.324231262917728,3.0762643851671614,0.9983753759358828,0.716
P1_demand,3,22,3,2.3345266305605312,3.11565354341452,0.9983753759358828,0.716
P1_demand,4,21,4,2.344558901493308,3.1475562270818545,0.9983753759358828,0.724
P1_demand,5,21,4,2.344558901493308,3.1475562270818545,0.9983753759358828,0.724
P2_optimised,1,40,1,2.379868140867529,3.182647119099934,0.9983753759358828,0.716
P2_optimised,2,29,2,2.420526654459367,3.254012356414755,0.9974365914272192,0.716
P2_optimised,3,26,3,2.454659440460848,3.3681466908224125,0.9974365914272192,0.716
P2_optimised,4,25,4,2.4945342562756787,3.479337921863399,0.9974365914272192,0.716
P2_optimised,5,24,5,2.4926796803460243,3.52462178201562,0.9983753759358828,0.716
