response_time_mean,response_time_mean_ci_lo,response_time_mean_ci_hi,response_time_median,response_time_median_ci_lo,response_time_median_ci_hi,response_time_p90,response_time_p90_ci_lo,response_time_p90_ci_hi,coverage_fraction,coverage_fraction_ci_lo,coverage_fraction_ci_hi,queue_fraction,queue_fraction_ci_lo,queue_fraction_ci_hi,total_incidents,total_incidents_ci_lo,total_incidents_ci_hi,dispatch_delay_mean,dispatch_delay_mean_ci_lo,dispatch_delay_mean_ci_hi,travel_time_mean,travel_time_mean_ci_lo,travel_time_mean_ci_hi,response_time_p95_approx,policy,capacity,K
2.778331169119428,2.7603685085789196,2.7962938296599362,2.6824563031859987,2.6543512684465163,2.710561337925481,3.5635644436618477,3.52215352170912,3.604975365614575,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.278331169119248,1.2603685085787417,1.2962938296597544,3.7417426658449404,P0_spatial,1,30
2.4722219186182666,2.45036081629477,2.4940830209417633,2.2442201032065867,2.2287499606457937,2.2596902457673798,3.3905645540580194,3.3454603475555436,3.435668760560495,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9722219186180417,0.9503608162945447,0.9940830209415388,3.5600927817609205,P1_demand,1,30
2.4256810272142943,2.406650281878719,2.4447117725498697,2.243372058183226,2.2276811888497114,2.259062927516741,3.279782563188156,3.233904555984096,3.325660570392216,0.9971958368167357,0.9963134954973276,0.9980781781361439,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9256810272140704,0.9066502818784928,0.944711772549648,3.443771691347564,P2_optimised,1,30
2.778331169119428,2.7603685085789196,2.7962938296599362,2.6824563031859987,2.6543512684465163,2.710561337925481,3.5635644436618477,3.52215352170912,3.604975365614575,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.278331169119248,1.2603685085787417,1.2962938296597544,3.7417426658449404,P0_spatial,2,30
2.3852905017503576,2.3640505947091883,2.406530408791527,2.201734793957643,2.183814742524088,2.2196548453911977,3.1884604311190645,3.1387712434834474,3.2381496187546817,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8852905017501301,0.8640505947089583,0.906530408791302,3.347883452675018,P1_demand,2,30
2.4423181820729227,2.4181475658966245,2.466488798249221,2.2294369085758063,2.2109129060387516,2.247960911112861,3.348431447916765,3.2898759722515916,3.4069869235819388,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9423181820726955,0.9181475658963965,0.9664887982489945,3.5158530203126035,P2_optimised,2,30
2.778331169119428,2.7603685085789196,2.7962938296599362,2.6824563031859987,2.6543512684465163,2.710561337925481,3.5635644436618477,3.52215352170912,3.604975365614575,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.278331169119248,1.2603685085787417,1.2962938296597544,3.7417426658449404,P0_spatial,3,30
2.3899944131578774,2.3672287873089246,2.4127600390068302,2.1997947368515227,2.1815337899707887,2.2180556837322567,3.2069799295462076,3.1489311269161813,3.265028732176234,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8899944131576503,0.8672287873086939,0.9127600390066066,3.367328926023518,P1_demand,3,30
2.5000715174062313,2.4784867355801743,2.5216562992322884,2.2404044049920415,2.2257909418766366,2.2550178681074464,3.50312271357041,3.451298126108067,3.5549473010327532,0.9972023317125117,0.9964049442606304,0.997999719164393,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.000071517406006,0.9784867355799496,1.0216562992320624,3.678278849248931,P2_optimised,3,30
2.778331169119428,2.7603685085789196,2.7962938296599362,2.6824563031859987,2.6543512684465163,2.710561337925481,3.5635644436618477,3.52215352170912,3.604975365614575,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.278331169119248,1.2603685085787417,1.2962938296597544,3.7417426658449404,P0_spatial,5,30
2.3899944131578774,2.3672287873089246,2.4127600390068302,2.1997947368515227,2.1815337899707887,2.2180556837322567,3.2069799295462076,3.1489311269161813,3.265028732176234,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8899944131576503,0.8672287873086939,0.9127600390066066,3.367328926023518,P1_demand,5,30
2.502028978184767,2.477548652486012,2.5265093038835222,2.242317604437936,2.2261000510178066,2.2585351578580655,3.5504010226122618,3.4971942950315755,3.603607750192948,0.9981411162211755,0.9973668841988114,0.9989153482435397,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.002028978184541,0.9775486524857889,1.026509303883293,3.727921073742875,P2_optimised,5,30
