total_units,firehouses_used,max_units_per_fh,unit_std,units_in_cbd,units_outside_cbd,fh_in_cbd,fh_outside_cbd,proxy_weighted_rt_min,policy,capacity,K,response_time_mean,response_time_mean_ci_lo,response_time_mean_ci_hi,response_time_median,response_time_median_ci_lo,response_time_median_ci_hi,response_time_p90,response_time_p90_ci_lo,response_time_p90_ci_hi,coverage_fraction,coverage_fraction_ci_lo,coverage_fraction_ci_hi,queue_fraction,queue_fraction_ci_lo,queue_fraction_ci_hi,total_incidents,total_incidents_ci_lo,total_incidents_ci_hi,dispatch_delay_mean,dispatch_delay_mean_ci_lo,dispatch_delay_mean_ci_hi,travel_time_mean,travel_time_mean_ci_lo,travel_time_mean_ci_hi,response_time_p95_approx
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,1,20,2.5622855425985027,2.5373755769780955,2.58719550821891,2.247100801535602,2.230499321775647,2.263702281295557,3.742695736034256,3.6934310231626366,3.791960448905876,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.0622855425982805,1.0373755769778754,1.0871955082186855,3.8357717831922
40,22,2,0.395,20,20,10,12,0.716,P1_demand,2,40,2.324231262917728,2.307360316221746,2.3411022096137097,2.186743687493525,2.1722748810983346,2.201212493888716,3.0762643851671614,3.02843943843993,3.124089331894393,0.9983753759358828,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8242312629175014,0.80736031622152,0.8411022096134827,3.166203834015832
