total_units,firehouses_used,max_units_per_fh,unit_std,units_in_cbd,units_outside_cbd,fh_in_cbd,fh_outside_cbd,proxy_weighted_rt_min,policy,capacity,K,response_time_mean,response_time_mean_ci_lo,response_time_mean_ci_hi,response_time_median,response_time_median_ci_lo,response_time_median_ci_hi,response_time_p90,response_time_p90_ci_lo,response_time_p90_ci_hi,coverage_fraction,coverage_fraction_ci_lo,coverage_fraction_ci_hi,queue_fraction,queue_fraction_ci_lo,queue_fraction_ci_hi,total_incidents,total_incidents_ci_lo,total_incidents_ci_hi,dispatch_delay_mean,dispatch_delay_mean_ci_lo,dispatch_delay_mean_ci_hi,travel_time_mean,travel_time_mean_ci_lo,travel_time_mean_ci_hi,response_time_p95_approx
20,20,1,0.0,9,11,9,11,1.302,P0,1,20,3.11136738950995,3.0932728110069645,3.1294619680129356,3.0060169699677886,2.979773159354309,3.032260780581268,4.053856136028493,4.0193304487346015,4.0883818233223845,0.9966117782419716,0.9957542612035973,0.9974692952803458,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.6113673895097766,1.593272811006792,1.6294619680127613,4.161313521433585
20,20,1,0.0,10,10,10,10,0.764,P1_demand,1,20,2.5889336679942674,2.563295497495408,2.6145718384931267,2.2582878435067113,2.2398034560827984,2.276772230930624,3.8494880520899146,3.780684988659151,3.9182911155206783,0.9970851670962259,0.9963897776651373,0.9977805565273145,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.0889336679940744,1.0632954974952147,1.1145718384929342,3.995528562753662
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,1,20,2.5622829964945195,2.5373731051040873,2.5871928878849517,2.247021028320475,2.2303884648947236,2.2636535917462264,3.7425814150838876,3.6933277846019075,3.791835045565868,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.062282996494331,1.0373731051038981,1.0871928878847639,3.835667665131467
20,20,1,0.0,9,11,9,11,1.302,P0,2,20,3.11136738950995,3.0932728110069645,3.129461968012936,3.006016969967789,2.979773159354309,3.032260780581268,4.053856136028493,4.0193304487346015,4.0883818233223845,0.9966117782419716,0.9957542612035972,0.9974692952803458,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.6113673895097766,1.593272811006792,1.629461968012761,4.161313521433585
20,18,2,0.323,11,9,10,8,0.824,P1_demand,2,20,2.616727061195069,2.590076336209144,2.643377786180994,2.2413818664904213,2.2214431842614237,2.2613205487194192,3.9897962084074985,3.915636233429859,4.063956183385138,0.996490585951834,0.9953252321201236,0.9976559397835444,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.116727061194877,1.0900763362089505,1.1433777861808037,4.161389030760952
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,2,20,2.5622829964945195,2.5373731051040878,2.587192887884952,2.247021028320475,2.230388464894724,2.2636535917462264,3.742581415083888,3.693327784601908,3.791835045565868,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.062282996494331,1.037373105103898,1.087192887884764,3.835667665131467
20,20,1,0.0,9,11,9,11,1.302,P0,3,20,3.11136738950995,3.0932728110069645,3.1294619680129356,3.0060169699677886,2.979773159354309,3.032260780581268,4.053856136028493,4.0193304487346015,4.0883818233223845,0.9966117782419716,0.9957542612035973,0.9974692952803458,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.6113673895097766,1.593272811006792,1.6294619680127613,4.161313521433585
20,18,2,0.323,11,9,10,8,0.824,P1_demand,3,20,2.616727061195069,2.590076336209144,2.643377786180994,2.2413818664904213,2.2214431842614233,2.2613205487194192,3.9897962084074985,3.915636233429859,4.063956183385138,0.9964905859518339,0.9953252321201235,0.9976559397835444,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.116727061194877,1.0900763362089503,1.1433777861808037,4.161389030760952
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,3,20,2.5622829964945195,2.5373731051040873,2.5871928878849517,2.247021028320475,2.2303884648947236,2.2636535917462264,3.7425814150838876,3.6933277846019075,3.791835045565868,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.062282996494331,1.0373731051038981,1.0871928878847639,3.835667665131467
20,20,1,0.0,9,11,9,11,1.302,P0,4,20,3.11136738950995,3.0932728110069645,3.1294619680129356,3.0060169699677886,2.979773159354309,3.032260780581268,4.053856136028493,4.0193304487346015,4.0883818233223845,0.9966117782419716,0.9957542612035973,0.9974692952803458,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.6113673895097766,1.593272811006792,1.6294619680127613,4.161313521433585
20,18,2,0.323,11,9,10,8,0.824,P1_demand,4,20,2.616727061195069,2.590076336209144,2.643377786180994,2.2413818664904213,2.2214431842614233,2.2613205487194192,3.9897962084074985,3.915636233429859,4.063956183385138,0.9964905859518339,0.9953252321201235,0.9976559397835444,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.116727061194877,1.0900763362089503,1.1433777861808037,4.161389030760952
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,4,20,2.5622829964945195,2.5373731051040873,2.5871928878849517,2.247021028320475,2.2303884648947236,2.2636535917462264,3.7425814150838876,3.6933277846019075,3.791835045565868,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.062282996494331,1.0373731051038981,1.0871928878847639,3.835667665131467
20,20,1,0.0,9,11,9,11,1.302,P0,5,20,3.11136738950995,3.0932728110069645,3.129461968012936,3.006016969967789,2.979773159354309,3.032260780581268,4.053856136028493,4.0193304487346015,4.0883818233223845,0.9966117782419716,0.9957542612035972,0.9974692952803458,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.6113673895097766,1.593272811006792,1.629461968012761,4.161313521433585
20,18,2,0.323,11,9,10,8,0.824,P1_demand,5,20,2.616727061195069,2.590076336209144,2.643377786180994,2.2413818664904213,2.2214431842614237,2.2613205487194192,3.9897962084074985,3.915636233429859,4.063956183385138,0.996490585951834,0.9953252321201236,0.9976559397835444,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.116727061194877,1.0900763362089505,1.1433777861808037,4.161389030760952
20,20,1,0.0,10,10,10,10,0.731,P2_optimised,5,20,2.5622829964945195,2.5373731051040878,2.587192887884952,2.247021028320475,2.230388464894724,2.2636535917462264,3.742581415083888,3.693327784601908,3.791835045565868,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.062282996494331,1.037373105103898,1.087192887884764,3.835667665131467
40,40,1,0.0,20,20,20,20,0.777,P0,1,40,2.442975203148147,2.4261408093629,2.4598095969333937,2.308419188068231,2.2994891947429057,2.3173491813935563,3.299194010536333,3.2534879709350224,3.344900050137644,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,0.9429752031479519,0.9261408093627056,0.9598095969331982,3.3866625236731887
40,40,1,0.0,22,18,22,18,0.716,P1_demand,1,40,2.3923908546176236,2.3742571222266853,2.410524587008562,2.240726597012568,2.2265363477423423,2.2549168462827933,3.169638757969166,3.1392679923134734,3.2000095236248587,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8923908546174338,0.8742571222264929,0.9105245870083748,3.2606831032309778
40,40,1,0.0,21,19,21,19,0.716,P2_optimised,1,40,2.3798705978326415,2.3618081290716675,2.3979330665936156,2.240312720803175,2.2261336880955183,2.2544917535108313,3.1825421148371604,3.151745513663593,3.213338716010728,0.9983753759358829,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8798705978324524,0.8618081290714759,0.8979330665934289,3.282369147396699
40,40,1,0.0,20,20,20,20,0.777,P0,2,40,2.442975203148147,2.4261408093629,2.4598095969333937,2.308419188068231,2.2994891947429057,2.3173491813935563,3.299194010536333,3.2534879709350224,3.344900050137644,0.9983751518989616,0.9976967459578422,0.9990535578400812,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,0.942975203147952,0.9261408093627056,0.9598095969331982,3.3866625236731887
40,22,2,0.395,20,20,10,12,0.716,P1_demand,2,40,2.324233987197097,2.3073647803740016,2.3411031940201923,2.1866944700589204,2.172242699822372,2.201146240295469,3.0762017034318747,3.028345627539311,3.1240577793244384,0.9983753759358828,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8242339871969065,0.8073647803738101,0.841103194020003,3.1660984129270644
40,29,2,0.494,25,15,16,13,0.716,P2_optimised,2,40,2.4205282329084707,2.398505320373448,2.4425511454434936,2.227870280828764,2.2090730102413425,2.2466675514161847,3.2538889746024338,3.199437331634232,3.308340617570636,0.9974365914272192,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.920528232908281,0.8985053203732544,0.9425511454433076,3.368551975501779
40,40,1,0.0,20,20,20,20,0.777,P0,3,40,2.442975203148147,2.4261408093629,2.4598095969333937,2.308419188068231,2.2994891947429057,2.3173491813935563,3.299194010536333,3.2534879709350224,3.344900050137644,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,0.9429752031479519,0.9261408093627056,0.9598095969331982,3.3866625236731887
40,22,3,0.853,22,18,10,12,0.716,P1_demand,3,40,2.334530476927344,2.3164222609698566,2.352638692884831,2.193914446663271,2.1786854996466016,2.2091433936799407,3.1156311943008013,3.076335512276571,3.1549268763250313,0.9983753759358829,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8345304769271529,0.8164222609696643,0.8526386928846414,3.1660984129271412
40,26,3,0.905,26,14,14,12,0.716,P2_optimised,3,40,2.454654910517992,2.4337168306689962,2.4755929903669873,2.232486902151301,2.2151616587731806,2.2498121455294213,3.3680609253206013,3.3291272525951743,3.4069945980460283,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9546549105178029,0.9337168306688045,0.9755929903668014,3.4561787165208577
40,40,1,0.0,20,20,20,20,0.777,P0,4,40,2.442975203148147,2.4261408093629,2.4598095969333937,2.308419188068231,2.2994891947429057,2.3173491813935563,3.299194010536333,3.2534879709350224,3.344900050137644,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,0.9429752031479519,0.9261408093627056,0.9598095969331982,3.3866625236731887
40,21,4,0.995,22,18,10,11,0.724,P1_demand,4,40,2.3445638251036716,2.3266385323677157,2.3624891178396275,2.193914446663271,2.1786854996466016,2.2091433936799407,3.1474648923431743,3.1042562626516412,3.1906735220347073,0.9983753759358829,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8445638251034798,0.8266385323675225,0.8624891178394372,3.2585311714061223
40,25,4,1.225,25,15,13,12,0.716,P2_optimised,4,40,2.4945307739943448,2.4729268076687925,2.516134740319897,2.2389112865288894,2.2242738961884863,2.2535486768692925,3.4792590966924584,3.4302824522258946,3.528235741159022,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9945307739941558,0.9729268076686023,1.0161347403197094,3.6233058765055315
40,40,1,0.0,20,20,20,20,0.777,P0,5,40,2.442975203148147,2.4261408093629,2.4598095969333937,2.308419188068231,2.2994891947429057,2.3173491813935563,3.299194010536333,3.2534879709350224,3.344900050137644,0.9983751518989616,0.9976967459578422,0.9990535578400812,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,0.942975203147952,0.9261408093627056,0.9598095969331982,3.3866625236731887
40,21,4,0.995,22,18,10,11,0.724,P1_demand,5,40,2.344563825103672,2.326638532367716,2.3624891178396275,2.193914446663271,2.1786854996466016,2.2091433936799407,3.1474648923431743,3.104256262651641,3.1906735220347078,0.9983753759358828,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8445638251034798,0.8266385323675225,0.8624891178394372,3.2585311714061223
40,24,5,1.523,19,21,11,13,0.716,P2_optimised,5,40,2.492675750212321,2.470036532327714,2.515314968096928,2.241473581885828,2.225259791958526,2.2576873718131285,3.52455396568928,3.4741909710250454,3.574916960353514,0.9983753759358828,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9926757502121322,0.9700365323275244,1.0153149680967395,3.67132255132527
