K,F_statistic,p_value,significant_005,significant_001
10,269.67953340562366,5.096487501476109e-38,True,True
15,1856.0323977001915,4.4993627140421803e-72,True,True
20,1019.2518608524246,4.2120755769759e-61,True,True
25,570.8685059171968,9.497812442466993e-51,True,True
30,1009.5728335968281,6.271073240095871e-61,True,True
35,312.09129520066807,2.0319308045767543e-40,True,True
40,103.95063708689844,8.67267870126733e-24,True,True
45,71.23761122144627,4.754230238932199e-19,True,True
48,64.63192543401,6.270273007742914e-18,True,True
