Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp2_fleet_sensitivity,P0_legacy,K,35.0,Mean RT (min),3.2737,0.0847,3.2434,3.304
exp2_fleet_sensitivity,P0_legacy,K,35.0,"P90 Response Time (90th percentile, min)",4.756,0.5026,4.5761,4.9358
exp2_fleet_sensitivity,P0_legacy,K,35.0,6-min Coverage (NYC),0.9205,0.0093,0.9172,0.9238
exp2_fleet_sensitivity,P0_legacy,K,35.0,8-min Coverage (NFPA),0.9382,0.009,0.935,0.9414
exp2_fleet_sensitivity,P0_legacy,K,35.0,Mean Utilization,0.0434,0.0018,0.0427,0.044
exp2_fleet_sensitivity,P0_legacy,K,40.0,Mean RT (min),2.4453,0.0298,2.4346,2.4559
exp2_fleet_sensitivity,P0_legacy,K,40.0,"P90 Response Time (90th percentile, min)",3.1951,0.0648,3.1719,3.2183
exp2_fleet_sensitivity,P0_legacy,K,40.0,6-min Coverage (NYC),0.9971,0.0019,0.9964,0.9978
exp2_fleet_sensitivity,P0_legacy,K,40.0,8-min Coverage (NFPA),0.9984,0.0013,0.9979,0.9989
exp2_fleet_sensitivity,P0_legacy,K,40.0,Mean Utilization,0.0369,0.0015,0.0364,0.0375
exp2_fleet_sensitivity,P1,K,15.0,Mean RT (min),2.943,0.0613,2.9211,2.965
exp2_fleet_sensitivity,P1,K,15.0,"P90 Response Time (90th percentile, min)",4.997,0.1733,4.935,5.059
exp2_fleet_sensitivity,P1,K,15.0,6-min Coverage (NYC),0.955,0.007,0.9525,0.9575
exp2_fleet_sensitivity,P1,K,15.0,8-min Coverage (NFPA),0.9923,0.0037,0.991,0.9937
exp2_fleet_sensitivity,P1,K,15.0,Mean Utilization,0.1002,0.0042,0.0987,0.1017
exp2_fleet_sensitivity,P1,K,20.0,Mean RT (min),2.6186,0.0519,2.6,2.6371
exp2_fleet_sensitivity,P1,K,20.0,"P90 Response Time (90th percentile, min)",3.9882,0.1741,3.9259,4.0505
exp2_fleet_sensitivity,P1,K,20.0,6-min Coverage (NYC),0.9801,0.0054,0.9781,0.982
exp2_fleet_sensitivity,P1,K,20.0,8-min Coverage (NFPA),0.9964,0.0027,0.9955,0.9974
exp2_fleet_sensitivity,P1,K,20.0,Mean Utilization,0.0745,0.003,0.0734,0.0755
exp2_fleet_sensitivity,P1,K,25.0,Mean RT (min),2.4673,0.0363,2.4543,2.4803
