policy,mean_response_time,cbd_mean_rt,non_cbd_mean_rt,coverage_8min,cbd_coverage_8min,non_cbd_coverage_8min
P0,3.1651,2.7495,3.6851,0.9967,1.0,0.9925
P1,2.6186,2.4365,2.8445,0.9964,0.9995,0.9926
P2,2.5666,2.4792,2.6747,0.997,0.9995,0.9939
