K,comparison,mean_diff,p_value,significant
10,P0-spatial vs P1,0.06735548755073495,0.14600877543569257,False
10,P0-spatial vs P2,0.6375319972339688,2.220446049250313e-15,True
10,P1 vs P2,0.5701765096832339,2.220446049250313e-15,True
15,P0-spatial vs P1,0.7420041349706241,2.220446049250313e-15,True
15,P0-spatial vs P2,0.8627355636366438,2.220446049250313e-15,True
15,P1 vs P2,0.12073142866601971,2.2378876529671743e-11,True
20,P0-spatial vs P1,0.5394546841214436,2.220446049250313e-15,True
20,P0-spatial vs P2,0.6032846085759789,2.220446049250313e-15,True
20,P1 vs P2,0.06382992445453528,1.4499885044982896e-05,True
25,P0-spatial vs P1,0.3433305633017576,2.220446049250313e-15,True
25,P0-spatial vs P2,0.31741445048361294,2.220446049250313e-15,True
25,P1 vs P2,-0.025916112818144654,0.02808284601426647,True
30,P0-spatial vs P1,0.43012880239597795,2.220446049250313e-15,True
30,P0-spatial vs P2,0.3720757749403938,2.220446049250313e-15,True
30,P1 vs P2,-0.05805302745558416,2.0353621010826828e-07,True
35,P0-spatial vs P1,0.22221531618088397,2.220446049250313e-15,True
35,P0-spatial vs P2,0.13225733564999187,2.220446049250313e-15,True
35,P1 vs P2,-0.0899579805308921,2.220446049250313e-15,True
40,P0-spatial vs P1,0.11362393167958329,2.220446049250313e-15,True
40,P0-spatial vs P2,0.01660379814462143,0.09582496495269943,False
40,P1 vs P2,-0.09702013353496186,2.220446049250313e-15,True
45,P0-spatial vs P1,0.07026567191911726,4.0190073491430667e-14,True
45,P0-spatial vs P2,-0.024767091741180636,0.004404045050631633,True
45,P1 vs P2,-0.09503276366029789,2.220446049250313e-15,True
48,P0-spatial vs P1,0.0490038880113528,1.2448368780226815e-08,True
48,P0-spatial vs P2,-0.042202106210077694,6.539335181132699e-07,True
48,P1 vs P2,-0.0912059942214305,2.220446049250313e-15,True
