K,policy,n,mean_RT,std_RT,ci95_lower,ci95_upper,median_RT,p95_RT,coverage_8min,coverage_10min,mean_util,max_util,queue_fraction,mean_queue_length
10,P0-spatial,30,4.4095142616784155,0.14353073017958032,4.358152449516914,4.460876073839917,3.7954530836295706,8.645728315653267,0.9401595038457451,0.9736308253694347,0.1595240449000352,0.26320539347050115,5.6785917092561044e-05,1.643099966674056e-05
10,P1,30,4.342158774127681,0.15436910099865217,4.28691850077916,4.397399047476201,3.149590839475442,10.252831177721704,0.8945471664788548,0.9461868499230754,0.15885955299057034,0.24860129415183677,5.6785917092561044e-05,1.5404278637836976e-05
10,P2,30,3.7719822644444467,0.11125384821042492,3.732170586158698,3.8117939427301955,3.121225120400605,7.807373521206996,0.9541987512245647,0.9806661344152723,0.15634365603978229,0.2591445557916477,0.0001739505333784427,1.9878866493387107e-05
15,P0-spatial,30,3.697767549817032,0.07091644605709377,3.6723904255107005,3.723144674123364,3.31365498030144,6.5415263982227065,0.9899587690422694,0.9963522068019548,0.10316844111604741,0.2004908595165797,0.0,0.0
15,P1,30,2.955763414846408,0.05021519424488102,2.937794138363024,2.973732691329792,2.3340394717568937,5.845472585000433,0.9918258329834053,0.997926751037772,0.10092054135665159,0.15823348244850063,0.0,0.0
15,P2,30,2.8350319861803883,0.05410227192517248,2.8156717368132007,2.854392235547576,2.3095788936811767,5.7216570647423355,0.9912380209549523,0.998563791936554,0.10046261910668261,0.1826950971658284,0.0,0.0
20,P0-spatial,30,3.173500336879019,0.06012099759479661,3.151986314191595,3.1950143595664433,2.6458659900459214,6.2624421157891,0.9961814735938271,0.9987983081889115,0.0762703585971549,0.15617519006736585,0.0,0.0
20,P1,30,2.6340456527575755,0.04682774542575579,2.617288559266202,2.650802746248949,2.247177755084122,5.046826038220053,0.9957747133114377,0.9987961520695606,0.07468800148429097,0.13785454669032887,0.0,0.0
20,P2,30,2.5702157283030402,0.04373025578622688,2.554567057243843,2.5858643993622374,2.250883604318739,4.664778542325006,0.996240946299924,0.9989152625777249,0.07459668519352398,0.1378834560658363,0.0,0.0
25,P0-spatial,30,2.8163881876177164,0.03065506855889957,2.805418412217353,2.8273579630180796,2.5873699592814177,4.549194119339104,0.997158220667032,0.9989025122332821,0.05994810789116503,0.1386068445377816,0.0,0.0
25,P1,30,2.4730576243159588,0.04165305771492843,2.4581522690402653,2.4879629795916522,2.2193776525034923,4.092919005227577,0.9971118742174521,0.9988541230840534,0.059383467330148515,0.1339220731739642,0.0,0.0
25,P2,30,2.4989737371341034,0.04177067267412422,2.484026293885792,2.5139211803824146,2.2391946534295397,4.149991586360709,0.9972897216288829,0.9989152625777249,0.05951479476995915,0.13366842946727922,0.0,0.0
30,P0-spatial,30,2.8217288223696837,0.03997564757783819,2.807423720602568,2.8360339241367996,2.6643034509718317,4.394757728961513,0.9973320438422026,0.9991898369978885,0.04997247377442104,0.13359888396183006,0.0,0.0
30,P1,30,2.3916000199737057,0.035740522764902714,2.378810438157268,2.4043896017901436,2.207514901049536,3.6547596219582714,0.9972285821352114,0.9988541230840534,0.04933119112682868,0.13353664278507374,0.0,0.0
30,P2,30,2.44965304742929,0.038485866808213906,2.4358810568639044,2.4634250379946754,2.2327285993974115,3.837616524285234,0.9972897216288829,0.9989152625777249,0.049501383328393905,0.13198450201586753,0.0,0.0
35,P0-spatial,30,2.5635451672929457,0.028361045550669314,2.5533962974832907,2.5736940371026007,2.4016617072861566,3.845471606726827,0.9982571385803688,0.999244037539894,0.04241203218498994,0.13140670088694092,0.0,0.0
35,P1,30,2.3413298511120617,0.027982513390526303,2.3313164372962696,2.351343264927854,2.2016035934406335,3.492626284435613,0.9986076202400553,0.9993099089927306,0.04220180223614903,0.1313016973073842,0.0,0.0
35,P2,30,2.431287831642954,0.03593710248306852,2.418427904677804,2.4441477586081035,2.2317741635303197,3.712856078433459,0.9972897216288829,0.9989152625777249,0.04239970891883819,0.13095959375605526,0.0,0.0
40,P0-spatial,30,2.4422341927961537,0.028784642423292074,2.4319337407923816,2.452534644799926,2.3132047530583537,3.521390677508861,0.9984932476195294,0.9992498489326707,0.03706903822645168,0.13153344373069112,0.0,0.0
40,P1,30,2.3286102611165704,0.026666864127780864,2.3190676463430395,2.3381528758901013,2.1933041408643046,3.4401967452193403,0.9986076202400553,0.9993099089927306,0.03690853496404524,0.1312826584304989,0.0,0.0
40,P2,30,2.4256303946515323,0.0357020911556016,2.41285456540986,2.4384062238932045,2.230076829408338,3.6924262660803757,0.9972897216288829,0.9989152625777249,0.037091618079030816,0.1308816823676499,0.0,0.0
45,P0-spatial,30,2.3947879100741933,0.026549973551456028,2.3852871240561986,2.404288696092188,2.249168581540035,3.590229737736346,0.99849335963799,0.9992498489326707,0.03289152098479057,0.13148613880650187,0.0,0.0
45,P1,30,2.324522238155076,0.0252822356793543,2.31547510630839,2.3335693700017623,2.1929246184107196,3.420328328310852,0.9986076202400553,0.9993099089927306,0.03280238817554796,0.1312826584304989,0.0,0.0
45,P2,30,2.419555001815374,0.03525487224761733,2.4069392078046117,2.4321707958261363,2.224957541415449,3.68561373658291,0.9972897216288829,0.9989152625777249,0.032962630491794306,0.1308816823676499,0.0,0.0
48,P0-spatial,30,2.372885476540489,0.025126161536622657,2.3638941951084993,2.3818767579724787,2.2434963629294304,3.4638996636633954,0.99849335963799,0.9992498489326707,0.030809808111021564,0.13105194295631953,0.0,0.0
48,P1,30,2.323881588529136,0.02539414202469291,2.3147944115110657,2.3329687655472067,2.1929246184107196,3.420328328310824,0.9986076202400553,0.9993099089927306,0.03075147054905236,0.1312826584304989,0.0,0.0
48,P2,30,2.4150875827505667,0.035419278023395465,2.4024129568885124,2.427762208612621,2.223140600139977,3.674267180699044,0.9972897216288829,0.9989152625777249,0.030897165843250092,0.1308870086622659,0.0,0.0
