K,F_statistic,p_value,significant_005,significant_001
10,194.36022995308426,8.022004124144188e-33,True,True
15,1874.6254664250296,2.945321328940872e-72,True,True
20,1280.5626624750075,2.9597922739680982e-65,True,True
25,744.3131918283606,1.9048963841109266e-55,True,True
30,1125.2629618863102,6.73259549972751e-63,True,True
35,390.59456214952894,3.46229164311304e-44,True,True
40,120.45014933618432,8.596440388347251e-26,True,True
45,84.54913686447937,4.012344073738393e-21,True,True
48,74.09535545942214,1.630460632146187e-19,True,True
