K,P0,P1,P2
15,9.570625562296222,2.9557634148464085,2.8350319861803888
20,8.082451489150738,2.634045652757576,2.570215728303041
25,5.789541613289116,2.4730576243159583,2.512689470791591
30,3.917941422470529,2.3974025266968826,2.5101277878859682
35,3.26049089434514,2.364837003549419,2.505314585522593
40,2.5830085956212967,2.3488087021290083,2.50208734735127
