K,P0,P0_legacy,P1,P2
15,3.6977668833605515,9.476228474242408,2.943033648281608,2.824523913151475
20,3.1734788382338617,3.1650640636617413,2.6185749168880132,2.566647249371996
25,2.816381452705293,5.794886194098715,2.467285838451739,2.496439006064959
30,2.821678409338996,2.810621272875991,2.3960941149259387,2.510968161157051
35,2.5635574049008567,3.2737210642314998,2.3425828339261754,2.4348607235139696
40,2.4422527198292894,2.4452652353373816,2.3527071538148374,2.503304171763615
