month,month_name,season,total_crashes,n_months,avg_crashes_per_month,avg_daily_rate,avg_hourly_rate,factor
1,Jan,Winter,31148,14,2224.8571428571427,73.08991927914397,3.0454133032976656,0.8762935420193089
2,Feb,Winter,29231,14,2087.9285714285716,68.5916087854327,2.857983699393029,0.8223621589433164
3,Mar,Spring,31554,13,2427.230769230769,79.73819872637218,3.322424946932174,0.9560014470574276
4,Apr,Spring,29264,13,2251.076923076923,73.95127868189628,3.0813032784123453,0.8866205979174926
5,May,Spring,35206,13,2708.153846153846,88.96694632568483,3.7069560969035344,1.0666472379129048
6,Jun,Summer,35380,13,2721.5384615384614,89.40665116749216,3.72527713197884,1.0719189705549785
7,Jul,Summer,37549,14,2682.0714285714284,88.11009949314811,3.671254145547838,1.056374284361212
8,Aug,Summer,37279,14,2662.785714285714,87.47653463487892,3.6448556097866214,1.0487783149138892
9,Sep,Fall,38052,14,2718.0,89.29040735873849,3.720433639947437,1.0705252941093728
10,Oct,Fall,39190,14,2799.285714285714,91.96076590951755,3.831698579563231,1.10254089866883
11,Nov,Fall,36456,14,2604.0,85.54533508541392,3.564388961892247,1.025624674709642
12,Dec,Winter,36125,14,2580.3571428571427,84.76863149990614,3.532026312496089,1.0163125788316274
-1,TESTS,CV=0.0881,416434,0,2538.9404761904757,83.40803141230212,3.4753346421792544,1.0
