policy_clean,K,mean_rt,std_rt,n,p95_rt,coverage,mean_util,mean_queue,ci_lo,ci_hi
P0,10,4.4095142616784155,0.14353073017957987,30,4.609792780182287,0.9401595038457452,0.1595240449000352,1.6430999666740002e-05,4.35591900621599,4.4631095171408415
P0,15,3.697767549817032,0.07091644605709367,30,3.7942176917411423,0.9899587690422693,0.10316844111604737,0.0,3.6712869136622386,3.7242481859718257
P0,20,3.173500336879019,0.06012099759479671,30,3.2477403519353727,0.9961814735938271,0.07627035859715486,0.0,3.151050787429103,3.1959498863289353
P0,25,2.8163881876177164,0.0306550685588995,30,2.8683436132182054,0.9971582206670319,0.05994810789116499,0.0,2.804941396895083,2.82783497834035
P0,30,2.8217288223696833,0.03997564757783824,30,2.8941886957215046,0.9973320438422026,0.049972473774420996,0.0,2.8068016702432392,2.8366559744961273
P0,35,2.5635451672929457,0.028361045550669255,30,2.6095534075979776,0.9982571385803686,0.042412032184989915,0.0,2.5529549788394497,2.5741353557464417
P0,40,2.4422341927961524,0.02878464242329219,30,2.4959504188946826,0.9984932476195293,0.03706903822645164,0.0,2.4314858306709075,2.4529825549213973
P0,45,2.3947879100741933,0.026549973551456035,30,2.441276955966096,0.9984933596379899,0.03289152098479053,0.0,2.3848739870193145,2.404701833129072
P0,48,2.372885476540489,0.02512616153662271,30,2.418996783583359,0.9984933596379899,0.030809808111021512,0.0,2.3635032136295386,2.3822677394514393
P1,10,4.342158774127681,0.1543691009986522,30,4.590200093263569,0.8945471664788548,0.15885955299057034,1.5404278637836667e-05,4.2845164044889525,4.399801143766409
P1,15,2.9557634148464085,0.0502151942448811,30,3.046949825960546,0.9918258329834051,0.10092054135665154,0.0,2.93701275315687,2.974514076535947
P1,20,2.634045652757576,0.04682774542575568,30,2.706913745215109,0.9957747133114377,0.07468800148429093,0.0,2.616559885245053,2.651531420270099
P1,25,2.4730576243159583,0.04165305771492846,30,2.5345211256278697,0.9971118742174521,0.05938346733014847,0.0,2.4575041169504646,2.488611131681452
P1,30,2.391600019973706,0.03574052276490268,30,2.4578274979320476,0.9972285821352113,0.04933119112682863,0.0,2.378254289442349,2.4049457505050635
P1,35,2.3413298511120617,0.02798251339052632,30,2.3856270733171057,0.9986076202400553,0.04220180223614899,0.0,2.3308810088901235,2.351778693334
P1,40,2.3286102611165704,0.02666686412778087,30,2.373942326938486,0.9986076202400553,0.036908534964045205,0.0,2.318652690403163,2.338567831829978
P1,45,2.324522238155076,0.025282235679354278,30,2.3710348683563285,0.9986076202400553,0.03280238817554791,0.0,2.3150816962014407,2.3339627801087115
P1,48,2.3238815885291357,0.025394142024693,30,2.370782399009953,0.9986076202400553,0.030751470549052303,0.0,2.3143992600594085,2.333363916998863
P2,10,3.771982264444446,0.11125384821042483,30,3.94026954536682,0.9541987512245645,0.15634365603978223,1.9878866493386667e-05,3.730439394784719,3.8135251341041725
P2,15,2.8350319861803888,0.0541022719251724,30,2.920505515000221,0.9912380209549523,0.10046261910668255,0.0,2.814829865830974,2.8552341065298035
P2,20,2.570215728303041,0.04373025578622697,30,2.644468117954189,0.9962409462999241,0.07459668519352396,0.0,2.5538865824304624,2.58654487417562
P2,25,2.498973737134104,0.041770672674124126,30,2.5611316197253355,0.9972897216288826,0.05951479476995911,0.0,2.483376311621072,2.514571162647136
P2,30,2.449653047429291,0.03848586680821384,30,2.5150995047522393,0.9972897216288826,0.04950138332839386,0.0,2.4352821885846487,2.464023906273933
P2,35,2.431287831642954,0.03593710248306841,30,2.49931468033723,0.9972897216288826,0.04239970891883815,0.0,2.4178686970384713,2.4447069662474363
P2,40,2.4256303946515327,0.03570209115560149,30,2.4929971070508667,0.9972897216288826,0.03709161807903076,0.0,2.412299014718934,2.4389617745841314
P2,45,2.419555001815374,0.03525487224761739,30,2.4829648441869288,0.9972897216288826,0.032962630491794265,0.0,2.406390616167491,2.432719387463257
P2,48,2.415087582750567,0.03541927802339529,30,2.48002442940918,0.9972897216288826,0.030897165843250047,0.0,2.40186180697709,2.4283133585240444
