demand_mult,P0,P1,P2
0.5,3.103087749428444,2.526698671508795,2.4434978779307936
0.75,3.145966443565962,2.569860973291262,2.5112877357541303
1.0,3.1650640636617413,2.618574916888013,2.566647249371996
1.25,3.2202912981114253,2.678942427373278,2.630026876367462
1.5,3.275212028313908,2.7427361958206222,2.70780173061637
2.0,3.358610233117258,2.867202197803182,2.843638617863036
