Experiment,Metric,Comparison,Cohens_d,Abs_d,Interpretation,Practical_Significance
Exp4,Mean RT (min),ANOVA: Policy × service_time_mean,,,Negligible,No
Exp4,P90 RT (min),ANOVA: Policy,,,Large,Yes
Exp4,P90 RT (min),ANOVA: service_time_mean,,,Negligible,No
Exp4,P90 RT (min),ANOVA: Policy × service_time_mean,,,Negligible,No
Exp4,8-min Coverage,ANOVA: Policy,,,Large,Yes
Exp4,8-min Coverage,ANOVA: service_time_mean,,,Negligible,No
Exp4,8-min Coverage,ANOVA: Policy × service_time_mean,,,Negligible,No
Exp4,Mean Utilization,ANOVA: Policy,,,Large,Yes
Exp4,Mean Utilization,ANOVA: service_time_mean,,,Large,Yes
Exp4,Mean Utilization,ANOVA: Policy × service_time_mean,,,Negligible,No
