Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp2_fleet_sensitivity,P2,K,20.0,8-min Coverage,0.9962,0.0024,0.9954,0.9971
exp2_fleet_sensitivity,P2,K,20.0,Mean Utilization,0.0746,0.0031,0.0735,0.0757
exp2_fleet_sensitivity,P2,K,25.0,Mean RT (min),2.5127,0.0379,2.4991,2.5262
exp2_fleet_sensitivity,P2,K,25.0,P90 RT (min),3.5811,0.1096,3.5418,3.6203
exp2_fleet_sensitivity,P2,K,25.0,8-min Coverage,0.9982,0.0014,0.9977,0.9987
exp2_fleet_sensitivity,P2,K,25.0,Mean Utilization,0.0595,0.0024,0.0587,0.0604
exp2_fleet_sensitivity,P2,K,30.0,Mean RT (min),2.5101,0.0382,2.4964,2.5238
exp2_fleet_sensitivity,P2,K,30.0,P90 RT (min),3.5762,0.1094,3.5371,3.6153
exp2_fleet_sensitivity,P2,K,30.0,8-min Coverage,0.9982,0.0014,0.9977,0.9987
exp2_fleet_sensitivity,P2,K,30.0,Mean Utilization,0.0496,0.002,0.0489,0.0503
exp2_fleet_sensitivity,P2,K,35.0,Mean RT (min),2.5053,0.0371,2.492,2.5186
exp2_fleet_sensitivity,P2,K,35.0,P90 RT (min),3.5568,0.1146,3.5157,3.5978
exp2_fleet_sensitivity,P2,K,35.0,8-min Coverage,0.9986,0.0012,0.9981,0.999
exp2_fleet_sensitivity,P2,K,35.0,Mean Utilization,0.0425,0.0017,0.0419,0.0431
exp2_fleet_sensitivity,P2,K,40.0,Mean RT (min),2.5021,0.0375,2.4887,2.5155
exp2_fleet_sensitivity,P2,K,40.0,P90 RT (min),3.5535,0.1144,3.5125,3.5944
exp2_fleet_sensitivity,P2,K,40.0,8-min Coverage,0.9986,0.0012,0.9981,0.999
exp2_fleet_sensitivity,P2,K,40.0,Mean Utilization,0.0372,0.0015,0.0367,0.0377
exp3_demand_sensitivity,P0,demand_multiplier,0.5,Mean RT (min),7.796,0.3546,7.6691,7.9228
exp3_demand_sensitivity,P0,demand_multiplier,0.5,P90 RT (min),19.0291,1.0735,18.645,19.4133
exp3_demand_sensitivity,P0,demand_multiplier,0.5,8-min Coverage,0.6616,0.0262,0.6522,0.671
exp3_demand_sensitivity,P0,demand_multiplier,0.5,Mean Utilization,0.0451,0.003,0.044,0.0462
exp3_demand_sensitivity,P0,demand_multiplier,0.75,Mean RT (min),8.0479,0.3934,7.9071,8.1887
exp3_demand_sensitivity,P0,demand_multiplier,0.75,P90 RT (min),19.5251,1.0786,19.1391,19.9111
exp3_demand_sensitivity,P0,demand_multiplier,0.75,8-min Coverage,0.6478,0.0257,0.6386,0.657
exp3_demand_sensitivity,P0,demand_multiplier,0.75,Mean Utilization,0.0681,0.0033,0.0669,0.0692
exp3_demand_sensitivity,P0,demand_multiplier,1.0,Mean RT (min),8.0825,0.2663,7.9871,8.1778
exp3_demand_sensitivity,P0,demand_multiplier,1.0,P90 RT (min),19.4746,0.6687,19.2353,19.7139
exp3_demand_sensitivity,P0,demand_multiplier,1.0,8-min Coverage,0.6444,0.0203,0.6371,0.6516
exp3_demand_sensitivity,P0,demand_multiplier,1.0,Mean Utilization,0.0906,0.004,0.0892,0.092
exp3_demand_sensitivity,P0,demand_multiplier,1.25,Mean RT (min),8.3094,0.2946,8.204,8.4148
exp3_demand_sensitivity,P0,demand_multiplier,1.25,P90 RT (min),19.8321,0.8698,19.5209,20.1434
exp3_demand_sensitivity,P0,demand_multiplier,1.25,8-min Coverage,0.6343,0.0176,0.628,0.6406
exp3_demand_sensitivity,P0,demand_multiplier,1.25,Mean Utilization,0.1151,0.0049,0.1134,0.1169
exp3_demand_sensitivity,P0,demand_multiplier,1.5,Mean RT (min),8.4336,0.3649,8.303,8.5642
exp3_demand_sensitivity,P0,demand_multiplier,1.5,P90 RT (min),20.0806,1.0415,19.7079,20.4533
exp3_demand_sensitivity,P0,demand_multiplier,1.5,8-min Coverage,0.628,0.0181,0.6215,0.6345
exp3_demand_sensitivity,P0,demand_multiplier,1.5,Mean Utilization,0.1396,0.0039,0.1382,0.141
exp3_demand_sensitivity,P0,demand_multiplier,2.0,Mean RT (min),8.5765,0.2966,8.4704,8.6827
exp3_demand_sensitivity,P0,demand_multiplier,2.0,P90 RT (min),20.3866,0.7383,20.1224,20.6508
exp3_demand_sensitivity,P0,demand_multiplier,2.0,8-min Coverage,0.6246,0.0155,0.6191,0.6302
exp3_demand_sensitivity,P0,demand_multiplier,2.0,Mean Utilization,0.187,0.0071,0.1844,0.1895
exp3_demand_sensitivity,P1,demand_multiplier,0.5,Mean RT (min),2.5292,0.0492,2.5116,2.5469
exp3_demand_sensitivity,P1,demand_multiplier,0.5,P90 RT (min),3.7458,0.1269,3.7004,3.7912
exp3_demand_sensitivity,P1,demand_multiplier,0.5,8-min Coverage,0.9977,0.0028,0.9967,0.9987
exp3_demand_sensitivity,P1,demand_multiplier,0.5,Mean Utilization,0.0372,0.0022,0.0364,0.038
exp3_demand_sensitivity,P1,demand_multiplier,0.75,Mean RT (min),2.588,0.0606,2.5663,2.6096
exp3_demand_sensitivity,P1,demand_multiplier,0.75,P90 RT (min),3.8383,0.1555,3.7826,3.8939
exp3_demand_sensitivity,P1,demand_multiplier,0.75,8-min Coverage,0.9965,0.0035,0.9953,0.9978
exp3_demand_sensitivity,P1,demand_multiplier,0.75,Mean Utilization,0.0565,0.0024,0.0557,0.0574
exp3_demand_sensitivity,P1,demand_multiplier,1.0,Mean RT (min),2.634,0.0468,2.6173,2.6508
exp3_demand_sensitivity,P1,demand_multiplier,1.0,P90 RT (min),4.0314,0.1471,3.9787,4.084
exp3_demand_sensitivity,P1,demand_multiplier,1.0,8-min Coverage,0.9958,0.0025,0.9949,0.9967
exp3_demand_sensitivity,P1,demand_multiplier,1.0,Mean Utilization,0.0747,0.0031,0.0736,0.0758
exp3_demand_sensitivity,P1,demand_multiplier,1.25,Mean RT (min),2.6698,0.0443,2.654,2.6857
exp3_demand_sensitivity,P1,demand_multiplier,1.25,P90 RT (min),4.1515,0.1953,4.0816,4.2214
exp3_demand_sensitivity,P1,demand_multiplier,1.25,8-min Coverage,0.9945,0.0026,0.9935,0.9954
exp3_demand_sensitivity,P1,demand_multiplier,1.25,Mean Utilization,0.0948,0.0043,0.0933,0.0963
exp3_demand_sensitivity,P1,demand_multiplier,1.5,Mean RT (min),2.7439,0.053,2.725,2.7629
exp3_demand_sensitivity,P1,demand_multiplier,1.5,P90 RT (min),4.5015,0.2006,4.4297,4.5733
exp3_demand_sensitivity,P1,demand_multiplier,1.5,8-min Coverage,0.993,0.0037,0.9917,0.9943
exp3_demand_sensitivity,P1,demand_multiplier,1.5,Mean Utilization,0.1152,0.0033,0.114,0.1164
exp3_demand_sensitivity,P1,demand_multiplier,2.0,Mean RT (min),2.867,0.0562,2.8469,2.8871
exp3_demand_sensitivity,P1,demand_multiplier,2.0,P90 RT (min),4.8685,0.1354,4.8201,4.9169
exp3_demand_sensitivity,P1,demand_multiplier,2.0,8-min Coverage,0.9889,0.0045,0.9872,0.9905
exp3_demand_sensitivity,P1,demand_multiplier,2.0,Mean Utilization,0.1535,0.0056,0.1515,0.1555
exp3_demand_sensitivity,P2,demand_multiplier,0.5,Mean RT (min),2.4399,0.0432,2.4245,2.4554
exp3_demand_sensitivity,P2,demand_multiplier,0.5,P90 RT (min),3.4441,0.1529,3.3893,3.4988
exp3_demand_sensitivity,P2,demand_multiplier,0.5,8-min Coverage,0.9977,0.0028,0.9967,0.9987
exp3_demand_sensitivity,P2,demand_multiplier,0.5,Mean Utilization,0.0369,0.0019,0.0362,0.0376
exp3_demand_sensitivity,P2,demand_multiplier,0.75,Mean RT (min),2.5245,0.0476,2.5075,2.5416
exp3_demand_sensitivity,P2,demand_multiplier,0.75,P90 RT (min),3.6271,0.1359,3.5785,3.6758
