policy,K,metric,n,mean,std,se,ci_lower,ci_upper,ci_width
P0,10,Mean RT (min),30,4.4095142616784155,0.14353073017958032,0.026205006204847888,4.35591900621599,4.4631095171408415,0.10719051092485261
P0,15,Mean RT (min),30,3.6977675498170317,0.07091644605709375,0.012947512401189515,3.671286913662238,3.7242481859718253,0.05296127230958713
P0,20,Mean RT (min),30,3.173500336879019,0.06012099759479666,0.010976542187461321,3.151050787429103,3.1959498863289353,0.04489909889983207
P0,25,Mean RT (min),30,2.8163881876177164,0.030655068558899518,0.005596824183858883,2.804941396895083,2.82783497834035,0.022893581445266722
P0,30,Mean RT (min),30,2.821728822369684,0.039975647577838204,0.007298521309752913,2.80680167024324,2.836655974496128,0.029854304252887712
P0,35,Mean RT (min),30,2.5635451672929457,0.028361045550669275,0.005177994800844362,2.5529549788394497,2.5741353557464417,0.021180376906991823
P0,40,Mean RT (min),30,2.4422341927961537,0.02878464242329204,0.005255332654985739,2.431485830670909,2.4529825549213986,0.021496724250489582
P0,45,Mean RT (min),30,2.3947879100741933,0.026549973551456045,0.004847339805099341,2.3848739870193145,2.404701833129072,0.019827846109757866
P0,48,Mean RT (min),30,2.372885476540489,0.025126161536622622,0.004587388485708959,2.3635032136295386,2.3822677394514393,0.01876452582190043
P1,10,Mean RT (min),30,4.342158774127681,0.15436910099865217,0.028183812932918353,4.2845164044889525,4.399801143766409,0.11528473927745529
P1,15,Mean RT (min),30,2.955763414846408,0.050215194244881044,0.009167998205808315,2.9370127531568695,2.9745140765359466,0.0375013233790772
P1,20,Mean RT (min),30,2.6340456527575755,0.04682774542575583,0.008549537495598608,2.6165598852450525,2.6515314202700986,0.03497153502504653
P1,25,Mean RT (min),30,2.4730576243159588,0.04165305771492844,0.007604773099843632,2.457504116950465,2.4886111316814525,0.031107014730987197
P1,30,Mean RT (min),30,2.3916000199737057,0.035740522764902735,0.006525296845121379,2.3782542894423484,2.404945750505063,0.026691461062714507
P1,35,Mean RT (min),30,2.3413298511120617,0.02798251339052628,0.00510888459989387,2.3308810088901235,2.351778693334,0.020897684443876435
P1,40,Mean RT (min),30,2.3286102611165704,0.02666686412778085,0.004868681006903633,2.318652690403163,2.338567831829978,0.019915141426815608
P1,45,Mean RT (min),30,2.324522238155076,0.02528223567935437,0.004615883595248112,2.3150816962014407,2.3339627801087115,0.018881083907271022
P1,48,Mean RT (min),30,2.323881588529136,0.025394142024692944,0.0046363148051380785,2.314399260059409,2.3333639169988634,0.01896465693945421
P2,10,Mean RT (min),30,3.7719822644444467,0.11125384821042489,0.020312080758035155,3.73043939478472,3.8135251341041734,0.08308573931945361
P2,15,Mean RT (min),30,2.8350319861803883,0.05410227192517249,0.00987767824856514,2.8148298658309736,2.855234106529803,0.04040424069882973
P2,20,Mean RT (min),30,2.5702157283030407,0.04373025578622689,0.007984015846529094,2.553886582430462,2.5865448741756194,0.03265829174515706
P2,25,Mean RT (min),30,2.4989737371341034,0.041770672674124265,0.007626246555260833,2.4833763116210714,2.5145711626471354,0.031194851026063744
P2,30,Mean RT (min),30,2.44965304742929,0.03848586680821392,0.007026525798666037,2.435282188584648,2.464023906273932,0.02874171768928389
P2,35,Mean RT (min),30,2.431287831642954,0.0359371024830685,0.006561187227117178,2.4178686970384713,2.4447069662474363,0.026838269208965055
P2,40,Mean RT (min),30,2.4256303946515323,0.035702091155601544,0.006518280225342883,2.4122990147189336,2.438961774584131,0.026662759865197398
P2,45,Mean RT (min),30,2.419555001815374,0.03525487224761733,0.006436629597327622,2.406390616167491,2.432719387463257,0.026328771295766273
P2,48,Mean RT (min),30,2.415087582750567,0.03541927802339539,0.006466645847986882,2.40186180697709,2.4283133585240444,0.02645155154695428
