experiment,policy,K,demand_multiplier,n_replications,mean_queue_length_avg,mean_queue_length_std,max_queue_length_avg,max_queue_length_max,queue_fraction_avg,queue_fraction_std,pct_reps_with_queuing,mean_incidents_queued,mean_total_incidents,mean_response_time,coverage_8min
cbd_experiment,CBD_ONLY,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,578.0333333333333,8.321499377688365,0.631716554365705
cbd_experiment,MIXED,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,578.0333333333333,8.321499377688365,0.631716554365705
cbd_experiment,P0,20,1.0,90,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,682.5333333333333,3.2166480337347525,0.994930185992386
cbd_experiment,P1,20,1.0,90,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,684.6777777777778,2.6877831203606695,0.9946193571202623
cbd_experiment,P2,20,1.0,90,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,683.1444444444444,2.639055687310573,0.9956415094115058
exp1_policy_comparison,P0,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,570.5666666666667,3.1650640636617413,0.9966800575744866
exp1_policy_comparison,P1,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.7666666666667,2.6185749168880132,0.9964460023301557
exp1_policy_comparison,P2,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.3666666666667,2.566647249371996,0.9970218682683274
exp2_fleet_sensitivity,P0,15,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,580.1666666666666,9.476228474242408,0.5766976191725279
exp2_fleet_sensitivity,P0,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,570.5666666666667,3.1650640636617413,0.9966800575744866
exp2_fleet_sensitivity,P0,25,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.7,5.794886194098715,0.7717170473936538
exp2_fleet_sensitivity,P0,30,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.8666666666667,2.810621272875991,0.9975505762620038
exp2_fleet_sensitivity,P0,35,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,569.7666666666667,3.2737210642314998,0.9382041720083478
exp2_fleet_sensitivity,P0,40,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.1666666666666,2.445265235337381,0.9984233207624578
exp2_fleet_sensitivity,P1,15,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.2333333333333,2.943033648281608,0.9923410370200483
exp2_fleet_sensitivity,P1,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.7666666666667,2.6185749168880132,0.9964460023301557
exp2_fleet_sensitivity,P1,25,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.1666666666666,2.467285838451739,0.9974350497267667
exp2_fleet_sensitivity,P1,30,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.1666666666666,2.3960941149259383,0.9974932230833694
exp2_fleet_sensitivity,P1,35,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.1666666666666,2.3425828339261754,0.9984829510546462
exp2_fleet_sensitivity,P1,40,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.1666666666666,2.352707153814838,0.9984829510546462
exp2_fleet_sensitivity,P2,15,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,570.0666666666667,2.824523913151475,0.9909910996928688
exp2_fleet_sensitivity,P2,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.3666666666667,2.566647249371996,0.9970218682683274
exp2_fleet_sensitivity,P2,25,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.3666666666667,2.4964390060649584,0.9975430584602896
exp2_fleet_sensitivity,P2,30,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.3666666666667,2.510968161157051,0.9982381758668712
exp2_fleet_sensitivity,P2,35,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,570.7333333333333,2.4348607235139696,0.9974838518291469
exp2_fleet_sensitivity,P2,40,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.3666666666667,2.503304171763615,0.9985306274037458
exp3_demand_sensitivity,P0,20,0.5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,285.1666666666667,3.1030877494284437,0.9980197081723193
