,1,5,6,7,9,10,13,14,17,18,19,20,22,23,24,25,26,28,30,32,33,34,50,52,76,84,90,94,108,114
Engine 4/Ladder 15,0.6482785248242096,1.4302960293066547,2.3471652058963057,2.053538854704044,2.8298916737201196,3.5470631730975426,3.5873227768418303,4.411716507864492,5.196967559834043,5.300254325493258,7.446203667489556,6.58386347947265,7.640654987431109,9.341711792610496,8.311121455583635,10.457152632016884,10.025214919535747,9.928499284230066,11.48651373619048,11.481835424037609,12.99534647849237,15.141931629949273,18.633741934476266,17.571173189038646,1.9221213274348614,1.5972781517993666,3.5393620797000462,4.612836485927957,6.965118193317947,9.456441052828835
Engine 6,0.3614363997719181,0.8757424293060125,1.7926116058956638,1.498985254703402,2.2753380737194773,2.9925095730969007,3.032769176841188,3.8571629078638496,4.642413959833401,4.745700725492616,6.891650067488913,6.029309879472008,7.0861013874304675,8.787158192609855,7.756567855582993,9.902599032016242,9.470661319535106,9.373945684229422,10.931960136189838,10.927281824036966,12.44079287849173,14.587378029948631,18.079188334475624,17.016619589038005,2.2337937274348136,1.9089505517993188,3.1621846913149,4.058282885927315,6.4105645933173045,8.901887452828191
Manhattan Borough Command/Battalion 1/Engine 7/Ladder 1,0.6844968997715626,0.5526819293063681,1.4695511058960193,1.1759247547037575,1.952277573719833,2.669449073097256,2.7097086768415437,3.534102407864205,4.319353459833756,4.422640225492971,6.568589567489269,5.706249379472363,6.763040887430822,8.46409769261021,7.433507355583349,9.579538532016597,9.14760081953546,9.050885184229779,10.608899636190193,10.604221324037322,12.117732378492084,14.264317529948986,17.75612783447598,16.69355908903836,2.651517227434776,2.3266740517992814,3.5799081913148623,3.7352223859276705,6.08750409331766,8.578826952828548
Ladder 8,0.959975899771544,0.7133217731217514,1.1940721058960377,1.4712201235923117,1.6767985737198514,2.3939700730972744,2.434229676841562,3.2586234078642233,4.043874459833775,4.147161225492989,6.293110567489288,5.430770379472382,6.487561887430841,8.188618692610229,7.158028355583367,9.304059532016616,8.87212181953548,8.775406184229798,10.333420636190212,10.32874232403734,11.842253378492103,13.988838529949005,17.480648834475996,16.418080089038376,2.960468227434977,2.635625051799482,3.8888591913150634,3.459743385927689,5.812025093317679,8.303347952828567
Engine 9/Ladder 6,1.393529699770994,0.29514002687838853,1.7593344864832061,0.46689195470432593,1.2432447737204015,2.887724667016154,2.000675876842112,2.8250696078647737,3.6103206598343247,3.7136074254935396,5.8595567674898374,4.997216579472932,6.0540080874313915,7.755064892610778,6.724474555583917,8.870505732017167,8.43856801953603,8.341852384230346,9.899866836190762,9.89518852403789,11.408699578492653,13.555284729949555,17.04709503447655,15.984526289038929,3.0379025146593093,1.6271632517993424,2.8803973913149234,3.026189585928239,5.3784712933182295,7.869794152829116
Battalion 4/Engine 15/Ladder 18,1.9305047997717224,0.6933259706937918,2.1540315864832906,0.07008314529640244,0.7062696737196731,3.2824217670162383,1.5172921069876764,2.6240466991789333,3.0733455598335966,3.288759071747698,5.322581667489109,4.460241479472204,5.517032987430663,7.21808979261005,6.187499455583189,8.333530632016437,7.901592919535301,7.804877284229619,9.362891736190033,9.358213424037162,10.871724478491924,13.018309629948828,16.510119934475817,15.4475511890382,3.5748776146600374,1.7508283125032307,2.4857002913148394,2.4892144859275103,4.8414961933175,7.332819052828388
Engine 28/Ladder 11,2.379137099771799,1.1419582706938685,1.8519438864833517,0.5187154452964791,0.3477328197393561,2.980334067016299,1.2152044069877377,2.3219589991789946,2.62471325983352,2.9866713717477595,4.873949367489033,4.011609179472127,5.068400687430587,6.769457492609973,5.738867155583113,7.884898332016361,7.452960619535224,7.3562449842295425,8.914259436189957,8.909581124037086,10.423092178491848,12.56967732994875,16.061487634475743,14.998918889038123,4.0235099146601145,2.1994606125033074,2.7877879913147776,2.040582185927434,4.392863893317424,6.884186752828311
Engine 5,2.9964957997712087,1.7593169706932783,1.1424325864832312,1.1360741452958891,0.3617784802607645,2.270822767016179,0.5056931069876172,1.6124476991788739,2.00735455983411,2.277160071747639,4.256590667489623,3.394250479472717,4.451041987431177,6.152098792610563,5.121508455583703,7.267539632016951,6.835601919535814,6.738886284230132,8.296900736190548,8.292222424037675,9.805733478492439,11.95231862994934,15.444128934476332,14.381560189038712,4.640868614659524,2.816819312502717,3.4972992913148984,2.3099132304559236,3.775505193318014,6.2668280528289015
Division 1/Ladder 20,1.723726599770997,0.4865477706930662,1.0382473864830999,1.1838454235922782,0.9130478737203986,2.1666375670160476,1.6704789768421093,2.4948727078647708,3.2801237598343223,3.3834105254935367,5.529359867489834,4.667019679472929,5.723811187431389,7.424867992610775,6.394277655583915,8.540308832017164,8.108371119536027,8.011655484230344,9.56966993619076,9.564991624037887,11.07850267849265,13.225087829949553,16.716898134476544,15.654329389038924,3.368099414659312,2.348250351799449,3.6014844913150297,2.695992685928236,5.048274393318226,7.539597252829114
