dow,day_name,lambda_per_day,factor,cbd_factor,non_cbd_factor
0,Monday,78.15870786516854,0.9352471941781145,0.8958004366096313,0.9851663706078593
1,Tuesday,86.35814606741573,1.0333616817630098,1.017628329579871,1.0535559551145965
2,Wednesday,87.09410112359551,1.0421681208679232,1.0539894557911176,1.0277771760322343
3,Thursday,90.3005617977528,1.0805366332276896,1.0860319432580052,1.0741031584420087
4,Friday,95.80898876404494,1.1464504770625574,1.1521101360737922,1.139839045102032
5,Saturday,79.41209563994374,0.9502452338283844,0.9725997256089668,0.919582123824791
6,Sunday,67.85814606741573,0.8119906590723213,0.8218399730786156,0.7999761708764785
